,input,output,sentence,letter,words,source
105,The three sunbathers went swimming. [t],the three,The three sunbathers went swimming.,t,"['The', 'three']",train
939,We asked him not to try to call us again. [n],not,We asked him not to try to call us again.,n,['not'],train
153,Anybody who ever swears at me better watch his step. [s],swears step,Anybody who ever swears at me better watch his step.,s,"['swears', 'step']",train
2405,I wonder has Mary worked for Microsoft. [w],wonder worked,I wonder has Mary worked for Microsoft.,w,"['wonder', 'worked']",train
2604,Was the piano bought for Jane by Frank? [b],bought by,Was the piano bought for Jane by Frank?,b,"['bought', 'by']",train
994,Mary always has preferred lemons to limes. [p],preferred,Mary always has preferred lemons to limes.,p,['preferred'],train
1314,Sonatas are easy to play on this violin. [a],are,Sonatas are easy to play on this violin.,a,['are'],train
389,Being honest is not an easy task. [i],is,Being honest is not an easy task.,i,['is'],train
6,Mary likes herself. [l],likes,Mary likes herself.,l,['likes'],train
1784,John asks which book by his father he read. [r],read,John asks which book by his father he read.,r,['read'],train
2202,Was the child in the school? [c],child,Was the child in the school?,c,['child'],train
2681,I bought you a ticket for . [t],ticket,I bought you a ticket for .,t,['ticket'],train
1928,The man whose car I hit last week sued me. [h],hit,The man whose car I hit last week sued me.,h,['hit'],train
2453,John sent her to Seoul. [h],her,John sent her to Seoul.,h,['her'],train
2355,It was John and Bill that were waiting at the restaurant. [r],restaurant,It was John and Bill that were waiting at the restaurant.,r,['restaurant'],train
1229,Nathan received the cloak from Benjamin [n],nathan,Nathan received the cloak from Benjamin,n,['Nathan'],train
2122,John convinced Bill to visit Mary. [j],john,John convinced Bill to visit Mary.,j,['John'],train
1417,I pushed against the table. [i],i,I pushed against the table.,i,['I'],train
2615,Bob proved this set is recursive. [p],proved,Bob proved this set is recursive.,p,['proved'],train
1977,"In the book, he talks about his ups and downs at school. [t]",the talks,"In the book, he talks about his ups and downs at school.",t,"['the', 'talks']",train
2937,Karen asked where to put the chairs. [c],chairs,Karen asked where to put the chairs.,c,['chairs'],train
1573,The king loved peanut butter cookies. [l],loved,The king loved peanut butter cookies.,l,['loved'],train
88,I ran an old man down. [m],man,I ran an old man down.,m,['man'],train
478,Jill threw the ball from home plate to third base. [f],from,Jill threw the ball from home plate to third base.,f,['from'],train
615,That Bill tried to discover which drawer Alice put the money in made us realize that we should have left him in Seoul. [w],which we,That Bill tried to discover which drawer Alice put the money in made us realize that we should have left him in Seoul.,w,"['which', 'we']",train
1048,I intended for Jenny to be present. [b],be,I intended for Jenny to be present.,b,['be'],train
2138,He seems intelligent enough for you. [e],enough,He seems intelligent enough for you.,e,['enough'],train
2333,That Plato loved Aster proved to be his undoing. [l],loved,That Plato loved Aster proved to be his undoing.,l,['loved'],train
1095,My pastor says I ate too much cake. [c],cake,My pastor says I ate too much cake.,c,['cake'],train
1277,Her mother wants Mary to be such an eminent woman that everyone will respect her. [m],mother mary,Her mother wants Mary to be such an eminent woman that everyone will respect her.,m,"['mother', 'Mary']",train
26,It is not true that that it would confuse the guards for Herschel to throw a fit was obvious. [w],would was,It is not true that that it would confuse the guards for Herschel to throw a fit was obvious.,w,"['would', 'was']",train
2832,The hardest that it ever snowed was last January th. [w],was,The hardest that it ever snowed was last January th.,w,['was'],train
2568,The medal was given to the soldier by Phillip. [m],medal,The medal was given to the soldier by Phillip.,m,['medal'],train
2993,We drove all the way to Buenos Aires. [w],we way,We drove all the way to Buenos Aires.,w,"['We', 'way']",train
2756,Romeo conceded that he and Juliet were going steady. [g],going,Romeo conceded that he and Juliet were going steady.,g,['going'],train
549,The biggest man in the room said that John danced an Irish jig from County Kerry to County Tipperary on Thursday. [k],kerry,The biggest man in the room said that John danced an Irish jig from County Kerry to County Tipperary on Thursday.,k,['Kerry'],train
2819,Miss Bates can chatter on for hours. [b],bates,Miss Bates can chatter on for hours.,b,['Bates'],train
2409,The one who broke the window was Mr. Kim. [m],mr,The one who broke the window was Mr. Kim.,m,['Mr'],train
1121,There are strangers in that garden. [a],are,There are strangers in that garden.,a,['are'],train
36,Philippa cried her eyes dry. [p],philippa,Philippa cried her eyes dry.,p,['Philippa'],train
2839,I doubt that Mary reads mysteries. [i],i,I doubt that Mary reads mysteries.,i,['I'],train
2231,Such a scholar as you were speaking of just now is here. [s],such scholar speaking,Such a scholar as you were speaking of just now is here.,s,"['Such', 'scholar', 'speaking']",train
2797,More caviar than mush is eaten by Jack. [c],caviar,More caviar than mush is eaten by Jack.,c,['caviar'],train
156,The wealthy young man bought his secret fianc e that piano. [w],wealthy,The wealthy young man bought his secret fianc e that piano.,w,['wealthy'],train
777,To my friends Mike talked about politics yesterday. [p],politics,To my friends Mike talked about politics yesterday.,p,['politics'],train
2497,The guy who is wearing the red hat just hit me! [m],me,The guy who is wearing the red hat just hit me!,m,['me'],train
1376,Lora buttered the toast with unsalted butter. [t],the toast,Lora buttered the toast with unsalted butter.,t,"['the', 'toast']",train
1817,Tom hid the manuscript in the cupboard. [i],in,Tom hid the manuscript in the cupboard.,i,['in'],train
505,Helen sent a scarf to Jim for Margaret. [f],for,Helen sent a scarf to Jim for Margaret.,f,['for'],train
1843,Either Dana or Lee is going to lead the parade. [t],to the,Either Dana or Lee is going to lead the parade.,t,"['to', 'the']",train
429,The kennel in which Mary keeps drugs and Fido sleeps has been stolen. [m],mary,The kennel in which Mary keeps drugs and Fido sleeps has been stolen.,m,['Mary'],train
322,"The tall, handsome man kicked the ball. [m]",man,"The tall, handsome man kicked the ball.",m,['man'],train
1073,John got the book from Bill. [b],book bill,John got the book from Bill.,b,"['book', 'Bill']",train
2799,What did Bill allege that Roger had eaten? [w],what,What did Bill allege that Roger had eaten?,w,['What'],train
633,He gave me more of his marbles than I wanted. [g],gave,He gave me more of his marbles than I wanted.,g,['gave'],train
2655,The concert started when the bell rang. [w],when,The concert started when the bell rang.,w,['when'],train
