,input,label
142,Question: Millie lies. Jaymie says Millie tells the truth. Jamey says Jaymie tells the truth. Sal says Jamey lies. Christie says Sal lies. Does Christie tell the truth?,No
6,Question: Shalonda lies. Teressa says Shalonda tells the truth. Tamika says Teressa lies. Lorine says Tamika tells the truth. Jaymie says Lorine lies. Does Jaymie tell the truth?,No
97,Question: Jamey lies. Michaela says Jamey tells the truth. Millicent says Michaela lies. Elanor says Millicent tells the truth. Rashida says Elanor lies. Does Rashida tell the truth?,No
60,Question: Delbert tells the truth. Delfina says Delbert lies. Antwan says Delfina tells the truth. Helene says Antwan lies. Sima says Helene lies. Does Sima tell the truth?,No
112,Question: Crista tells the truth. Jim says Crista lies. Delfina says Jim lies. Phoebe says Delfina lies. Bernita says Phoebe tells the truth. Does Bernita tell the truth?,No
181,Question: Millicent tells the truth. Ka says Millicent tells the truth. Conception says Ka lies. Sal says Conception lies. Tamika says Sal lies. Does Tamika tell the truth?,No
197,Question: Shaunda tells the truth. Fidel says Shaunda tells the truth. Delbert says Fidel tells the truth. Bernita says Delbert tells the truth. Lorine says Bernita lies. Does Lorine tell the truth?,No
184,Question: Leda lies. Fidel says Leda lies. Crista says Fidel tells the truth. Ka says Crista lies. Jim says Ka tells the truth. Does Jim tell the truth?,No
9,Question: Rashida tells the truth. Jim says Rashida lies. Alejandro says Jim lies. Tamika says Alejandro tells the truth. Fidel says Tamika lies. Does Fidel tell the truth?,No
104,Question: Crista tells the truth. Shalonda says Crista lies. Millicent says Shalonda lies. Vernell says Millicent lies. Inga says Vernell tells the truth. Does Inga tell the truth?,No
200,Question: Willian lies. Raymond says Willian tells the truth. Rashida says Raymond lies. Gwenn says Rashida lies. Ka says Gwenn lies. Does Ka tell the truth?,Yes
216,Question: Kandi lies. Millie says Kandi tells the truth. Lorine says Millie tells the truth. Michaela says Lorine tells the truth. Amberly says Michaela lies. Does Amberly tell the truth?,Yes
236,Question: Ka tells the truth. Inga says Ka lies. Bernita says Inga lies. Osvaldo says Bernita tells the truth. Michaela says Osvaldo lies. Does Michaela tell the truth?,No
240,Question: Fletcher lies. Tamika says Fletcher tells the truth. Ka says Tamika lies. Sima says Ka tells the truth. Ryan says Sima tells the truth. Does Ryan tell the truth?,Yes
67,Question: Vernell lies. Gwenn says Vernell lies. Teressa says Gwenn lies. Bernita says Teressa tells the truth. Christie says Bernita lies. Does Christie tell the truth?,Yes
224,Question: Inga tells the truth. Elanor says Inga lies. Millicent says Elanor tells the truth. Willian says Millicent tells the truth. Alejandro says Willian tells the truth. Does Alejandro tell the truth?,No
194,Question: Raymond lies. Fletcher says Raymond lies. Amberly says Fletcher lies. Shenna says Amberly tells the truth. Dallas says Shenna tells the truth. Does Dallas tell the truth?,No
15,Question: Willian lies. Inga says Willian tells the truth. Fidel says Inga lies. Gwenn says Fidel tells the truth. Crista says Gwenn tells the truth. Does Crista tell the truth?,Yes
177,Question: Millicent lies. Lorine says Millicent lies. Rashida says Lorine lies. Sima says Rashida lies. Phoebe says Sima tells the truth. Does Phoebe tell the truth?,Yes
24,Question: Delfina tells the truth. Fletcher says Delfina lies. Amberly says Fletcher lies. Audrie says Amberly tells the truth. Lorine says Audrie tells the truth. Does Lorine tell the truth?,Yes
247,Question: Kandi tells the truth. Ryan says Kandi lies. Michaela says Ryan tells the truth. Sima says Michaela lies. Andree says Sima tells the truth. Does Andree tell the truth?,Yes
19,Question: Fidel lies. Sal says Fidel tells the truth. Osvaldo says Sal lies. Alexis says Osvaldo lies. Millie says Alexis tells the truth. Does Millie tell the truth?,No
114,Question: Osvaldo lies. Ryan says Osvaldo lies. Andree says Ryan tells the truth. Rashida says Andree tells the truth. Millie says Rashida tells the truth. Does Millie tell the truth?,Yes
68,Question: Fidel lies. Michael says Fidel lies. Fletcher says Michael lies. Inga says Fletcher tells the truth. Andree says Inga lies. Does Andree tell the truth?,Yes
