,input,output
90,"is it the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
254,said eventually would seek to make a public share offering in its u.k. business it orkem .,orkem said
283,"totaled volume 11,820,000 shares .",volume totaled
445,and there was that might soon follow the lead of kemper corp. and other institutions in cutting off trading business to securities firms that do program trading fidelity investments and other large mutual-fund companies speculation yesterday .,speculation was
461,chance alienating the customers hope to woo they by looking like opportunistic sharks they .,they chance
15,no longer crowds the plate he .,he crowds
316,"founded by bike enthusiasts rather than businessmen , spotted the appeal of fat-tired bikes that go almost anywhere specialized and began mass-producing them in 1981 .",specialized spotted
489,"where will lead these discoveries , can only speculate scientists .",scientists speculate
159,"will concentrate he on , among others , j.p. morgan and hyundai .",he concentrate
153,"in august , issued the ruling that let pursue their back-pay grievance the pilots before the arbitrator he .",he issued
241,"includes removing $ 242 million in good will from the books , issuing $ 150 million in preferred stock and commencing an exchange offer for $ 52 million in convertible bonds it .",it includes
250,"yesterday , received a $ 15 million , three-year contract it from drexel burnham lambert .",it received
390,"even if is the press ready to seize and misinterpret , are these not very complicated thoughts .",these are
289,"in stock-index arbitrage , buy large amounts of stock with offsetting trades in stock-index futures traders and sell to profit from fleeting price discrepancies between the two markets .",traders buy
171,"at the state university of new york at brooklyn , flash two groups of different letters researchers on a computer screen in front of human guinea pigs .",researchers flash
329,"was it the most active of the 100-share index at 8.3 million shares , were traded 6.5 million of which by midday .",it was
468,"are liberals the faction that says give a chance peace , ; now are saying should give a break mr. ortega them they , lest ask them to vote for bullets instead of bandages the conservatives .",liberals are
355,"believe is technology one of their best bets they , and say will even consider declassifying military know-how moscow if is the price right some soviet officials .",they believe
154,"in a statement to employees , said was the company disappointed by the ruling eastern .",eastern said
37,"feeling the naggings of a culture imperative , promptly signed up i .",i signed
205,"at times sequester my mind detached from all other thoughts while trying to reach a decision i when must think i with precision , .",i sequester
366,"attend i , and so does a television crew from new york city .",i attend
240,"earned $ 10.2 million , or 67 cents a share coast , in the year-ago quarter .",coast earned
