,input,output
0,"he believes in what he plays , and he plays superbly .",he believes
1,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
2,"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman his selections chooses .",it was
3,but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it was
4,"this is the u.n. group that its own charter of education , science and culture promoting to traduce managed .",this is
5,but we can think of many reasons out to stay for the foreseeable future and well beyond .,we think
6,we an even stronger argument against unesco than its unsurprising failure to reform see .,we see
7,this that the reagan revolution eastern europe and tiananmen square spanning the power of ideas unencumbered by international civil servants or government functionaries shows is .,this is
8,"we plenty of reasons to stay out , and none unesco to rejoin can see .",we see
9,"they a second gene , for herbicide resistance , attached to the pollen-inhibiting gene .",they attached
10,"he the company is experimenting with the technique on alfalfa , and cotton and corn , among other crops to include plans said .",he said
11,"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today is
12,"midmorning , he an orange-and-blue uniform dons and , for fun , a bunt from dave kingman may field .",he dons
13,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
14,some have been training for months ; others active status only recently left .,others left
15,he the plate no longer crowds .,he crowds
16,"a wad of red man stuffing into his cheek , he the fastball he brought into the majors in 1955 a slowball has become admits .",he admits
17,he will compensate with the guile learned from his years in the majors .,he compensate
18,he good control has .,he has
19,"alltel 45 % of the franchise , which operations in aiken , s.c. , and augusta , ga has holds .",alltel holds
20,reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves traded
21,it a 2.6 % decline in its raw-materials price index for september also reported .,it reported
22,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats quoted
23,gm a friendly transaction with jaguar that joint ventures and an eventual stake of just under 30 % likely would involve has been negotiating .,gm negotiating
24,"analysts ford the first move will make , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share expect .",analysts expect
25,"in a prepared statement , gm its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid suggested .",gm suggested
26,"dow 60 % of the venture will own , with eli lilly the rest holding .",dow own
27,"dataproducts a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates is fighting .",dataproducts fighting
28,"but trading was very sketchy , as investment decision makers wary remain from gyrations and upsets of recent weeks .",trading was
29,"despite the modest gains , traders the market dull remains , with investors remaining cautiously on the sidelines said .",traders said
30,prices were mixed in zurich and lower in stockholm .,prices were
31,"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks closed
32,taipei was closed for a holiday .,taipei closed
33,he summer drought problems that several southern agricultural regions had hit being a major source of price pressure had stopped in september said .,he said
34,"metromedia its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million said .",metromedia said
35,"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said .",banxquote said
36,"for longer-term cds , yields were up .",yields were
37,"the naggings of a culture imperative feeling , i promptly signed up .",i signed
38,we were coming down straight into their canal .,we coming
39,i looked at my watch .,i looked
40,a whole morning of ballooning and i had been off the ground barely 30 minutes .,i been
41,"at the same time , they that a reduction of nato forces under a treaty the possibility of a conventional soviet attack will increase unless the west a residual force of nuclear weapons retains in europe contend .",they contend
42,tanks currently are defined as armored vehicles 25 tons or more weighing that large guns carry .,tanks defined
43,coke its control to increase when results were sluggish in a given country has tended .,coke tended
44,"ifi nonvoting preferred shares , which are quoted on the milan stock exchange also has .",ifi has
45,"it financing of 300 billion lire raised for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a.",it raised
46,"and it such activities treats in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
47,"democrats that the training wage was a way of employers less than the minimum wage to pay , while new workers need far less than six months to be trained for their jobs allowing argued .",democrats argued
48,republicans the white house to compromise on the wage issue have been imploring .,republicans imploring
49,"analysts armstrong proceeds of the sale to use debt to reduce , stock buy back or an acquisition perhaps finance expect .",analysts expect
50,"analysts the planned transaction hailed as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts hailed
51,"yesterday , armstrong flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year reported .",armstrong reported
52,"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings were
53,"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings were
54,"yesterday , armstrong an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd announced .",armstrong announced
55,"armstrong the sale of the color unit to close in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results expects .",armstrong expects
56,"these new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods include .",these include
57,"after various adjustments , they a 0.5 % rise in the index for august and a 0.2 % rise for september produced .",they produced
58,"he is 37 , an astronomer with impressive credentials , and something of a genius at computers his bidding do making .",he is
59,they yet more for really good stuff promised .,they promised
60,some nights he slept under his desk .,he slept
61,tymnet is a major network computers linking .,tymnet is
62,he the humor of his uncombed appearance among these buttoned-up chaps savored .,he savored
63,he angry became in return .,he became
64,mips to wedge into markets other than traditional risc applications such as engineering also wants ; mips the new machine will also be used by businesses and for communications said .,mips wants
65,"unifirst $ 2.4 million , or 24 cents a share adjusted for the split a year earlier earned .",unifirst earned
66,"healthcare a 12 % note for that overdue amount , to be repaid over three years has given healthvest .",healthcare given
67,"we telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec innovated .",we innovated
68,"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare .",he heralded
69,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it was
70,"while his case may be extreme , it the vulnerability of many small communities to domineering judges reflects .",it reflects
71,"bailiffs they him to chauffeur to and from work , his lawn mow , his wood chop , his car fix and his house even drop by his two grown mutts , dixie and husky to feed were required claimed .",bailiffs claimed
72,"if only some of the allegations even stand up , , they ample testimony to the awesome power of judges in rural communities however provide .",they provide
73,"he tea sweetened with honey sipped from his high-backed leather chair at his bench , while notes spectators whispering to stop or their hats to take off in his courtroom ordering scribbling .",he sipped
74,"but the judge his payment book when received , he the deal disavowed .",he disavowed
75,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
76,"mason commercial and government customers , including the national institutes of health serves .",mason serves
77,"although the action one obstacle in the way of an overall settlement to the case removes , it that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c also means .",it means
78,japan another safe outlet for its money : u.s. home mortgages has found .,japan found
79,that may not come as a surprise to americans who the japanese properties in the u.s. from golf courses to a stake in rockefeller center snap up have watched .,that come
80,"but it a big change for the japanese , who mortgage securities shunned after getting burned a few years back by a big downturn in interest rates marks .",it marks
81,"first , they are safe .",they are
82,"second , they are liquid .",they are
83,"he his suit against enfield two years severance pay , equivalent to c$ 720,000 seeks said .",he said
84,enfield is a holding company with interests in manufacturing concerns .,enfield is
85,"38.5 % it is owned by canadian express , another holding company .",it owned
86,"first of all , it is a friendly acquisition in which rockefeller mitsubishi estate sought out and it a majority share to buy asked .",it is
87,"rockefeller its match may well have found in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller found
88,"at the time , japan its doors had just opened to the world after about 250 years of isolation and a western-style business center needed .",japan opened
89,analysts the company new convertible bonds or warrants also could easily issue say .,analysts say
90,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
91,"mitsubishi is also pushing ahead with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
92,sony columbia and guber-peters entertainment co. is acquiring in two separate transactions valued at more than $ 5 billion .,sony acquiring
93,warner a five-year exclusive contract with mr. guber and mr. peters that them movies to make exclusively at the warner bros. studio requires has .,warner has
94,"but it may amount to little more than posturing ; the two on-again , off-again settlement talks have continued over the last few weeks , and people familiar with the talks the matter could be resolved within a week say .",it amount
95,"a studio a movie that is in development not to actually make once chooses , producers are typically free it to take elsewhere .",producers are
96,goya a milk for hispanic tastes concocts,goya concocts
97,that compares with 3.5 % butterfat for whole milk .,that compares
98,"borden a milk with 4 % butterfat even tested in the south , but the market was too small decided .",borden tested
99,goya leche fresca is selling in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya selling
100,"but , retailers say , fake more fashionable lately has become .",retailers say
101,he opening arguments reset for today .,he reset
102,she now lives with relatives in alabama .,she lives
103,he his movement then would move to europe .,he move
104,"for a while in the 1970s it mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo seemed .",it seemed
105,"insiders that not even their editors , , these show-piece publications mr. moon how much along with the newspapers have cost know for sure say .",insiders say
106,( europe even less hospitable than north america had proved .,europe proved
107,it the situation is caused by efforts bloated factory payrolls to streamline said .,it said
108,israel has been accused in the past of subterfuge using elements nuclear weapons to develop needed to seek .,israel accused
109,"venezuela a debt-equity auction will hold friday , with 32 potential bidders participating .",venezuela hold
110,"earlier this year , venezuela it debt-equity swaps was opening up to foreign investors announced but the program would be limited to a net disbursement of $ 600 million a year said .",venezuela announced
111,"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , the philippines fled for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they more than $ 100 million allegedly embezzled from their homeland .",they charged
112,"as a result , he he the marcos documents sought by the prosecutors will examine whether the filings turning over is self-incrimination to determine said .",he said
113,ashurst is new to the far east .,ashurst is
114,sidley its association with the hashidate law office in tokyo will maintain .,sidley maintain
115,employees identification badges not only their names but also their dates of hire listing wore .,employees wore
116,"in recent years , nissan flex-time work schedules has instituted and employees to dress casually , even in blue jeans allowed .",nissan instituted
117,"and in a japanese corporate first , nissan the first coed company dormitory for single employees recently opened at the suburban tokyo technical center .",nissan opened
118,"this corporate glasnost is a big reason , after years of lackluster cars and lousy profits making , nissan its rigid ways has loosened up and a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan now is riding .",nissan loosened
119,"at that time , tasks were assigned strictly on the basis of seniority .",tasks assigned
120,"but they when arrived at the door , all were afraid to go in , that they would be out of place fearing .",they arrived
121,"since then , nissan new versions of the $ 13,249 240sx sporty coupe and 300zx sports car also has launched .",nissan launched
122,nissan a tokyo restaurant with both vehicles as its design theme develop helped .,nissan helped
123,nissan 29 % of the japanese car market had in 1980 before a depressing eight-year slide that continued through last year beginning .,nissan had
124,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan toyota and honda still trails .",nissan trails
125,"nissan that that to change will start this fall , with its new version of the stanza compact sedan hopes .",nissan hopes
126,"but this year , honda the accord has revamped and it a midsized car made .",honda revamped
127,"nissan its new stanza a bit smaller than that instead has kept and 6 % cut the base price ; at $ 11,450 , stanza prices start yet $ 749 below the predecessor model a more-powerful engine have .",nissan kept
128,nissan a completely revamped sentra will introduce next fall .,nissan introduce
129,"nissan only about 3,500 of the $ 38,000 infiniti q45 sedans will build each month , about 2,000 of them sending to the u.s. and the rest keeping for sale in japan .",nissan build
130,"toyota about 49,000 lexus ls400 sedans to sell next year in the u.s. alone wants .",toyota wants
131,"but on reflection , mr. oka says , he that nissan is being prudent in its slow-startup strategy following instead of lexus simply copying concluded .",he concluded
132,"nissan record net income of 114.63 billion yen ( $ 868 million ) in the fiscal year ended last march 31 , a remarkable recovery from the 20.39 billion yen of two years earlier , the company money when lost on operations had .",nissan had
133,nissan earnings has increased more than market share by costs cutting and by advantage taking of a general surge in japanese car sales .,nissan increased
134,"close the gap to help , nissan a top-level cost-cutting committee recently established .",nissan established
135,"that an enviable strategic advantage , at least until its rivals catch up , but also plenty of managerial headaches gives it .",that gives
136,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner is
137,bnl was unable to elaborate on what measures controls on its branches abroad to improve were planned by the bank .,bnl was
138,"i am not a proponent of everything gandhi did , but some of his law breaking was justified because india was then under occupation by a foreign power , and indians were not able in decisions that them vitally affected to participate fully .",gandhi did
139,demonstrations are particularly apt to degenerate into criminal conduct they the site of the grievance when leave and mobile become .,they leave
140,he dies .,he dies
141,"us at another type of non-violent civil disobedience that other people only harms indirectly yet , irreparable damage does to the nation as a whole look for a moment let .",us look
142,it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .,it is
143,"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course .",it is
144,"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark the gain attributed to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark attributed
145,"in the first nine months , profit 10 % rose to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
146,sales 6.7 % rose to $ 4.27 billion from $ 4 billion .,sales rose
147,"in new york stock exchange composite trading , kimberly-clark closed up $ 1.50 at $ 66.50 a share , .",kimberly-clark closed
148,"this is the year : unsuspecting filers of 1988 personal returns the irs its criteria for enforcement , audit selection , and use of resources update to help are being picked randomly for thorough audits .",this is
149,but they were stripped from the senate bill after staffers penalty revenue would fall by $ 216 million over five years estimated .,they stripped
150,states suit are following .,states following
151,hugo vast timberlands felled .,hugo felled
152,"that a lot of leeway for u.s. bankruptcy judge burton r. lifland what , if anything , the pilots actually collect to decide may leave .",that leave
153,"in august , he the ruling that the pilots their back-pay grievance pursue before the arbitrator let issued .",he issued
154,"in a statement to employees , eastern the company was disappointed by the ruling said .",eastern said
155,"eastern the claim has disputed , but all a federal district court , an appeals court and now the arbitrator have sided with the pilots .",eastern disputed
156,"he joins nov. 13 , his consulting firm , canter , achenbaum associates dissolving .",he joins
157,"as a consultant , he seminars has given at agencies including ogilvy & mather on new business how to win .",he given
158,"he most of his career marketing strategies formulating spent , but best-known for chipping away at ad agency compensation became .",he spent
159,"he will concentrate on , among others , j.p. morgan and hyundai .",he concentrate
160,clients miller brewing co. and general motors include .,clients include
161,revenue 20 % increased to $ 246.6 million from $ 204.8 million .,revenue increased
162,excerpts follow :,excerpts follow
163,they are already industrialized ... .,they are
164,i the earlier strident notes struck by -lcb- u.s. commerce secretary robert -rcb- mosbacher and -lcb- u.s. trade representative -rcb- carla hills have been more rounded think .,i think
165,"we are willing the political burden of being host to america , an imperial power to share .",we are
166,i it that filipinos so passionately involved in this father figure that they to dispose of want and they yet need feel how is really do not understand .,i understand
167,they it lorded over me .,they lorded
168,they even more good did themselves .,they did
169,"small electrical shocks applied to her feet using , they were able sensory nerves to monitor .",they were
170,researchers can apply for permission the probes to use for brain studies .,researchers apply
171,"at the state university of new york at brooklyn , researchers two groups of different letters flash on a computer screen in front of human guinea pigs .",researchers flash
172,"hewlett-packard is a palo alto , calif. , computer maker .",hewlett-packard is
173,"they interest pay only for 115 months , with principal payments beginning thereafter .",they pay
174,"here in this new center for japanese assembly plants just across the border from san diego , turnover is dizzying , infrastructure shoddy , bureaucracy intense .",turnover is
175,"japan ranks as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
176,that is just 1 % of all the money japan has invested abroad .,that is
177,he a $ 2 billion loan already has finagled from the japanese government .,he finagled
178,but mexico more help urgently needs .,mexico needs
179,"pressed on the matter , he is more specific .",he is
180,"mexico a number of missions is sending to japan looking for a major breakthrough investment in telecommunications , petrochemicals or tourism .",mexico sending
181,it that other japanese the leader would then follow is hoped .,it hoped
182,it special 20-year trusts created 100 % ownership in some once-closed industries to allow foreigners .,it created
183,"it artful use of semantics also made , some that had been in the national domain redefining as non-strategic industries .",it made
184,"sterling was trading down from $ 1.5820 late monday at $ 1.5805 , .",sterling trading
185,fed funds is the rate banks each other charge on overnight loans ; the fed the rate influences by reserves adding or draining from the banking system .,banks charge
186,"g-7 consists of the u.s. , japan , britain , west germany , canada , france and italy .",g-7 consists
187,"but , mr. kakita added , u.s. equities some stability once regain , players will move back into dollar-denominated investments , especially treasury bonds , whose value rises interest rates when decline .",players move
188,"in early trading in hong kong wednesday , gold was quoted at $ 373.80 an ounce .",gold quoted
189,he the government the 1 % transaction tax on the first-time purchase of stakes in companies will also repeal said .,he said
190,"the only permanent losers will be the 200,000 or so workers everyone will be priced out of a job at the $ 4.25 rate congress is likely to approve today agrees .",everyone agrees
191,"chemical steven edelson resigned recently said , but one individual close to the situation the resignation was forced said .",chemical said
192,"with such a lopsided book of options , traders say , chemical was more vulnerable to erroneous valuation assumptions .",traders say
193,he the firm joined in 1963 and it bought from the owners the next year .,he joined
194,"hogs $ 3.40 rose to $ 46.80 a hundredweight in october , while beef cattle 80 cents slipped to $ 67.40 for each hundred pounds and calves 90 cents dropped to $ 90.20 .",hogs rose
195,"soybeans $ 5.28 a bushel averaged down 42 cents from september , ; corn $ 2.20 averaged down seven cents , , and sorghum grain $ 3.61 for each hundred pounds averaged down 19 cents , , according to the department .",soybeans averaged
196,congress easier for the affluent it to qualify for insured loans from the deficit-ridden federal housing administration has just made .,congress made
197,this is no idle fear last year the fha $ 4.2 billion in loan defaults lost .,this is
198,experience that the most important element in a housing-loan default predicting is the down payment has shown .,experience shown
199,we that hud secretary jack kemp is toying with going along with some of the cranston-mitchell proposals hear .,we hear
200,that sounds like a formula for that he gets dragged into the next hud tar pit ensuring .,that sounds
201,"of course , self-reform is about the last thing this congress is interested in .",self-reform is
202,"like the s&l mess before it , this is a problem congress should be solving , not ignoring .",this is
203,terms were not disclosed .,terms disclosed
204,officials a cut in the defense budget this year to 70.9 billion rubles ( us$ 114.3 billion ) from 77.3 billion rubles ( us$ 125 billion ) as well as large cuts in outlays for new factories and equipment proposed .,officials proposed
205,tass the final budget and economic plan calls for a sharp increase in the production of consumer goods said .,tass said
206,"at times i my mind detached from all other thoughts while a decision to reach trying sequester i when must think with precision , .",i sequester
207,it that ocean drilling the unit would sell to concentrate on its core oil and gas business has long been rumored .,it rumored
208,"agreement on these points is a long way from a specific program , and nobody the u.s. to rush toward radical restructuring of the health-care system expects .",nobody expects
209,it a cost-containment provision expanded benefits to keep from higher care prices fueling designed will feature .,it feature
