,input,output
209,"1. e4 Bc6 2. Na6 b6 *
",illegal
280,"1. a3 Bf6 2. Bf3 Bg8 *
",illegal
33,"1. b4 Ne6 2. Ng3 Nb6 *
",legal
210,"1. d4 Bc6 2. g3 Bxd4 *
",illegal
93,"1. f3 d5 2. Bf2 Nd7 *
",legal
84,"1. a4 e6 2. Na2 Ng6 *
",legal
329,"1. b4 d5 2. c4 Ncd7 *
",illegal
94,"1. e4 d5 2. Ne3 dxe4 *
",legal
266,"1. e4 Bc6 2. Be2 Bd4 *
",illegal
126,"1. e4 e6 2. Ne3 c6 *
",legal
9,"1. e4 Nd6 2. Qf3 Nc8 *
",legal
361,"1. e4 a6 2. Nfd3 Bc6 *
",illegal
56,"1. e4 Ng6 2. a3 b5 *
",legal
72,"1. a4 Nd6 2. Ne3 Ne4 *
",legal
132,"1. e4 Nb6 2. Qg4 c6 *
",legal
42,"1. d4 c5 2. Ne3 e5 *
",legal
278,"1. e4 Bf6 2. Ke2 Bd5 *
",illegal
376,"1. f4 Bc6 2. Bf3 Be5 *
",illegal
231,"1. e4 d5 2. Be2 Qd6 *
",illegal
385,"1. d4 Bc6 2. h4 Be5 *
",illegal
77,"1. c4 e5 2. f3 Ne6 *
",legal
15,"1. e4 c5 2. f3 Bxh2 *
",legal
391,"1. d4 e5 2. Nh6 g5 *
",illegal
271,"1. e4 d6 2. Ba3 Ba6 *
",illegal
0,"1. g3 Ng6 2. b3 Kf8 *
",legal
396,"1. e4 d6 2. Ba3 Nce6 *
",illegal
114,"1. c4 a6 2. Bc2 g6 *
",legal
225,"1. e3 b6 2. Nfe2 a6 *
",illegal
262,"1. a3 Bc6 2. e3 Bb8 *
",illegal
104,"1. b3 d5 2. Ng3 Nb6 *
",legal
395,"1. e3 d6 2. b4 Nh3 *
",illegal
193,"1. h4 c6 2. Ng3 Qc7 *
",legal
261,"1. h4 Bf6 2. Bc3 Bd5 *
",illegal
57,"1. d4 Ne6 2. Ne3 g6 *
",legal
232,"1. Bc3 g6 2. h4 Bc6 *
",illegal
116,"1. a3 c5 2. Ba2 Ng6 *
",legal
113,"1. Nb3 Ne6 2. f3 f6 *
",legal
342,"1. Ba3 Bh6 2. Bc4 Bf5 *
",illegal
158,"1. Nb3 d5 2. e4 e5 *
",legal
141,"1. e4 Ng6 2. Ke2 Nh4 *
",legal
381,"1. Bc3 g6 2. e3 Nh6 *
",illegal
55,"1. Ne3 Ng6 2. f4 Kf8 *
",legal
76,"1. d4 Ng6 2. Ng3 Nf8 *
",legal
25,"1. f3 Ng6 2. a4 Nf4 *
",legal
82,"1. e4 Nb6 2. Nd3 c5 *
",legal
382,"1. d4 Bf6 2. Bd2 c5 *
",illegal
148,"1. e4 Ng6 2. Qf3 Nb6 *
",legal
181,"1. e4 Nb6 2. a4 a6 *
",legal
22,"1. c4 b6 2. e4 Ne6 *
",legal
173,"1. Ng3 Nb6 2. c4 Nd5 *
",legal
46,"1. e4 d6 2. h3 Ng6 *
",legal
321,"1. e4 e6 2. c3 Nb4 *
",illegal
338,"1. d4 d6 2. Bd2 Ncd7 *
",illegal
70,"1. a3 e6 2. Ne3 Qg5 *
",legal
374,"1. d4 e6 2. a3 Bc6 *
",illegal
39,"1. d4 Ne6 2. Nd3 Nf8 *
",legal
223,"1. d4 e5 2. Qd2 Bc6 *
",illegal
172,"1. e4 Ne6 2. Nb3 Nf4 *
",legal
30,"1. e4 Nb6 2. d4 d5 *
",legal
152,"1. d4 Nd6 2. c3 Ne4 *
",legal
124,"1. d4 f5 2. Qd2 Bb3 *
",legal
294,"1. e4 Bc6 2. Nfd3 g5 *
",illegal
255,"1. d4 Bf6 2. Qd3 a6 *
",illegal
78,"1. e4 Ne6 2. Qh5 d6 *
",legal
101,"1. f3 g6 2. Bxa7 Nb6 *
",legal
31,"1. e4 Ng6 2. Ne3 Nd6 *
",legal
352,"1. h3 Bf6 2. Bc3 Bg8 *
",illegal
268,"1. e4 e6 2. c4 Bf6 *
",illegal
394,"1. d4 e5 2. Bf3 Be7 *
",illegal
73,"1. Nd3 Ne6 2. Qc1 Nd4 *
",legal
320,"1. Bc3 Bf6 2. Bd5 h6 *
",illegal
140,"1. d4 Nb6 2. Nd2 Ng6 *
",legal
5,"1. Nb3 c5 2. c3 Be5 *
",legal
45,"1. d4 h6 2. Kd2 Ng6 *
",legal
388,"1. d4 e5 2. Bd2 Qe7 *
",illegal
246,"1. f3 Bc6 2. g4 Bb8 *
",illegal
227,"1. c3 c5 2. e4 Bf6 *
",illegal
369,"1. e4 h5 2. Bf3 Rh6 *
",illegal
176,"1. e4 e5 2. Ne2 Qf6 *
",legal
289,"1. e4 Bc6 2. c3 Be5 *
",illegal
3,"1. d4 Nd6 2. b3 Qc8 *
",legal
18,"1. h3 e6 2. Nh2 Nd6 *
",legal
202,"1. d4 Bc6 2. Qd3 Bb8 *
",illegal
250,"1. g4 Bf6 2. Nh3 Rg8 *
",illegal
274,"1. Ba3 d6 2. Bb1 Bf6 *
",illegal
63,"1. h3 Ne6 2. Ne3 Nf8 *
",legal
248,"1. a3 d5 2. f4 Bc6 *
",illegal
301,"1. Ba3 d6 2. Bc4 Ncd7 *
",illegal
108,"1. d4 Nb6 2. f3 h6 *
",legal
90,"1. f4 Ng6 2. Ng3 Nh4 *
",legal
233,"1. e4 Bf6 2. Qg4 e6 *
",illegal
335,"1. d4 c5 2. g3 Bf6 *
",illegal
118,"1. a4 Nb6 2. c3 Nc8 *
",legal
220,"1. d4 Bf6 2. Bd2 g6 *
",illegal
180,"1. d4 Nd6 2. Kd2 Nc4+ *
",legal
314,"1. h4 Bc6 2. e3 Bd4 *
",illegal
373,"1. e4 g5 2. Nb5 Ng7 *
",illegal
380,"1. d4 Bc6 2. Ng5 d5 *
",illegal
239,"1. e4 Bf6 2. Qe2 e5 *
",illegal
