,input,output
824,It's virtually impossible to like any of these despicable characters.,negative
316,It's refreshing to see a romance this smart.,positive
505,Marvelously entertaining and deliriously joyous documentary.,positive
705,Overly long and worshipful bio-doc.,negative
743,"Forget the misleading title, what's with the unexplained baboon cameo?",negative
258,Provides a very moving and revelatory footnote to the Holocaust.,positive
891,...overly melodramatic...,negative
348,Very stupid and annoying.,negative
509,A noble failure.,negative
264,"An even more predictable, cliche-ridden endeavor than its predecessor.",negative
733,"Awesome work: ineffable, elusive, yet inexplicably powerful",positive
8,Tedious Norwegian offering which somehow snagged an Oscar nomination.,negative
295,Runs on the pure adrenalin of Pacino's performance.,positive
1050,"Hopelessly inane, humorless and under-inspired.",negative
469,"What a dumb, fun, curiously adolescent movie this is.",positive
1127,A film of quiet power.,positive
1056,Plays like a glossy melodrama that occasionally verges on camp.,negative
524,"A sensitive, moving, brilliantly constructed work.",positive
664,"Deflated ending aside, there's much to recommend the film.",positive
655,"A pleasing, often-funny comedy.",positive
457,Feral and uncomfortable.,negative
892,Secretary is just too original to be ignored.,positive
957,Never comes together as a coherent whole.,negative
1081,"...a solid, unassuming drama.",positive
424,Ear-splitting exercise in formula crash-and-bash action.,negative
248,A truly wonderful tale combined with stunning animation.,positive
626,more precious than perspicacious,positive
911,Familiar but utterly delightful.,positive
292,Great character interaction.,positive
543,"As a science fiction movie, ``Minority Report'' astounds.",positive
1166,The entire movie is in need of a scented bath.,negative
1142,"Well-acted, well-directed and, for all its moodiness, not too pretentious.",positive
191,"``Sorority Boys'' was funnier, and that movie was pretty bad.",negative
245,This is one of the year's best films.,positive
367,Overall tomfoolery like this is a matter of taste.,negative
475,A captivating and intimate study about dying and loving...,positive
812,Where the film falters is in its tone.,negative
899,I don't think this movie loves women at all.,negative
759,Discursive but oddly riveting documentary.,positive
160,Allen's funniest and most likeable movie in years.,positive
633,"Blessed with two fine, nuanced lead performances.",positive
511,"A big, loud, bang-the-drum bore.",negative
927,"There's back-stabbing, inter-racial desire and, most importantly, singing and dancing.",positive
662,"A vibrant, colorful, semimusical rendition.",positive
298,"Uplifting, funny and wise.",positive
494,"The film is small in scope, yet perfectly formed.",positive
746,Press the delete key.,negative
211,Seems like someone going through the motions.,negative
59,Painfully padded.,negative
307,"a bilingual charmer, just like the woman who inspired it",positive
1100,Knows how to make our imagination wonder.,positive
1061,Duvall is strong as always.,positive
569,"Certainly not a good movie, but it wasn't horrible either.",negative
628,The feature-length stretch ... strains the show's concept.,negative
360,Inconsequential road-and-buddy pic.,negative
454,Wishy-washy.,negative
943,It's always fascinating to watch Marker the essayist at work.,positive
376,It'll keep you wide awake and ... very tense.,positive
614,A funny film.,positive
107,A lot smarter than your average Bond.,positive
839,Eight Legged Freaks falls flat as a spoof.,negative
982,Too bad Maggio couldn't come up with a better script.,negative
430,"A witty, low-key romantic comedy.",positive
357,"The film has a kind of hard, cold effect.",negative
210,A film that loses sight of its own story.,negative
290,The Pianist is Polanski's best film.,positive
51,A marvel of production design.,positive
668,To Blandly Go Where We Went 8 Movies Ago ...,negative
1023,An escapist confection that's pure entertainment.,positive
570,an original and highly cerebral examination of the psychopathic mind,positive
243,Adaptation is simply brilliant.,positive
301,"The movie is amateurish, but it's a minor treat.",positive
1147,Even the hastily and amateurishly drawn animation cannot engage.,negative
830,The beautifully choreographed kitchen ballet is simple but absorbing.,positive
14,A party-hearty teen flick that scalds like acid.,negative
1040,"About Schmidt is Nicholson's goofy, heartfelt, mesmerizing King Lear.",positive
546,"An enjoyable, if occasionally flawed, experiment.",positive
209,The film oozes craft.,positive
842,"A funny, triumphant, and moving documentary.",positive
495,Jackson is always watchable.,positive
386,We've liked Klein's other work but Rollerball left us cold.,negative
1000,...an interesting slice of history.,positive
501,"A finely tuned mood piece, a model of menacing atmosphere.",positive
564,Jones has delivered a solidly entertaining and moving family drama.,positive
791,"A solid, psychological action film from Hong Kong.",positive
1125,Lawrence plumbs personal tragedy and also the human comedy.,positive
74,"Guy gets girl, guy loses girl, audience falls asleep.",negative
470,"Woody, what happened?",negative
745,A sensitive and astute first feature by Anne-Sophie Birot.,positive
948,"Its premise is smart, but the execution is pretty weary.",negative
293,"It looks good, but it is essentially empty.",negative
515,Execrable.,negative
124,"By turns pretentious, fascinating, ludicrous, provocative and vainglorious.",positive
518,"A particularly joyless, and exceedingly dull, period coming-of-age tale.",negative
127,A little better than Sorcerer's Stone.,positive
393,"Constantly touching, surprisingly funny, semi-surrealist exploration of the creative act.",positive
420,"Despite all the closed-door hanky-panky, the film is essentially juiceless.",negative
752,Make like the title and dodge this one.,negative
516,"an admirable, sometimes exceptional film",positive
808,"A so-so, made-for-TV something posing as a real movie.",negative
