,input,label
142,"Find a movie similar to Forrest Gump, The Silence of the Lambs, The Fugitive, Jurassic Park:
Options:
(A) The Burrowers
(B) Children of the Corn III
(C) Hood of Horror
(D) Braveheart",(D)
6,"Find a movie similar to Raiders of the Lost Ark, The Shawshank Redemption, Inception, Pulp Fiction:
Options:
(A) Beyond the Poseidon Adventure
(B) The Chorus
(C) Forrest Gump
(D) Scouts Guide to the Zombie Apocalypse",(C)
97,"Find a movie similar to Pulp Fiction, Forrest Gump, Dances with Wolves, The Usual Suspects:
Options:
(A) The Lawnmower Man
(B) Virus
(C) Jaws The Revenge
(D) Get Shorty",(D)
60,"Find a movie similar to The Usual Suspects, Braveheart, Pulp Fiction, Schindler's List:
Options:
(A) The Cabinet of Dr Caligari
(B) The Shawshank Redemption
(C) Spider-Man 2
(D) Taxi",(B)
112,"Find a movie similar to Braveheart, Forrest Gump, The Silence of the Lambs, The Fugitive:
Options:
(A) Cannibal Holocaust
(B) Seven
(C) Bride & Prejudice
(D) Night at the Museum Secret of the Tomb",(B)
181,"Find a movie similar to Pulp Fiction, Schindler's List, Apollo 13, Dances with Wolves:
Options:
(A) Iron Eagle IV
(B) The Shawshank Redemption
(C) Knockin' on Heaven's Door
(D) Aguirre The Wrath of God",(B)
197,"Find a movie similar to Jurassic Park, The Silence of the Lambs, Dances with Wolves, Seven:
Options:
(A) Forrest Gump
(B) Righteous Kill
(C) Cheech and Chong's Up in Smoke
(D) Blood The Last Vampire",(A)
184,"Find a movie similar to Dances with Wolves, Crimson Tide, Braveheart, The Fugitive:
Options:
(A) Rachel Getting Married
(B) Howard the Duck
(C) The Shawshank Redemption
(D) The Post",(C)
9,"Find a movie similar to The Lord of the Rings The Two Towers, The Lord of the Rings The Fellowship of the Ring, Star Wars Episode IV - A New Hope, The Matrix:
Options:
(A) The Return
(B) The Hidden Fortress
(C) Schindler's List
(D) The End of the Affair",(C)
104,"Find a movie similar to X-Men, Planet of the Apes, Forrest Gump, Independence Day:
Options:
(A) The Terminator
(B) Remember Me
(C) Train to Busan
(D) Fast & Furious",(A)
200,"Find a movie similar to Back to the Future, The Lord of the Rings The Fellowship of the Ring, Star Wars Episode VI - Return of the Jedi, Forrest Gump:
Options:
(A) The Silence of the Lambs
(B) Making the Grade
(C) The Boy and the Beast
(D) Vicky Cristina Barcelona",(A)
216,"Find a movie similar to Batman, The Lion King, Pretty Woman, Terminator 2 Judgment Day:
Options:
(A) Drag Me to Hell
(B) The Old Man and the Sea
(C) The Mask
(D) 'night Mother",(C)
236,"Find a movie similar to Batman, The Silence of the Lambs, Jurassic Park, Independence Day:
Options:
(A) The Sessions
(B) The Girl Who Kicked the Hornet's Nest
(C) Forrest Gump
(D) Before Night Falls",(C)
240,"Find a movie similar to Pulp Fiction, The Fugitive, The Shawshank Redemption, Dances with Wolves:
Options:
(A) Babylon 5 A Call to Arms
(B) Letters from Iwo Jima
(C) Forrest Gump
(D) Saint Ralph",(C)
67,"Find a movie similar to Braveheart, Pretty Woman, Apollo 13, Dances with Wolves:
Options:
(A) Batman Assault on Arkham
(B) The Shawshank Redemption
(C) Pokémon Heroes
(D) The Flamingo Kid",(B)
224,"Find a movie similar to Jurassic Park, Forrest Gump, Independence Day, Mission Impossible:
Options:
(A) The Godfather Trilogy 1972-1990
(B) Star Wars Episode VI - Return of the Jedi
(C) Halloween II
(D) Alice Through the Looking Glass",(B)
194,"Find a movie similar to Back to the Future, Raiders of the Lost Ark, The Matrix, The Terminator:
Options:
(A) What's Up
(B) Tiger Lily
(C) Cave of Forgotten Dreams
(D) Batman
(E) Quatermass and the Pit",(D)
15,"Find a movie similar to Forrest Gump, The Silence of the Lambs, Seven, Fargo:
Options:
(A) Gandhi
(B) Schindler's List
(C) Dogfight
(D) Repo Man",(B)
177,"Find a movie similar to The Usual Suspects, Schindler's List, Braveheart, Dances with Wolves:
Options:
(A) The Way of the Gun
(B) Bully
(C) Fiddler on the Roof
(D) Batman",(D)
24,"Find a movie similar to Star Wars Episode V - The Empire Strikes Back, Groundhog Day, Mission Impossible, Star Wars Episode IV - A New Hope:
Options:
(A) View from the Top
(B) The Doors
(C) Raiders of the Lost Ark
(D) Quick Change",(C)
247,"Find a movie similar to Pulp Fiction, Fargo, Twelve Monkeys, Monty Python and the Holy Grail:
Options:
(A) Cloud Atlas
(B) Friday Night Lights
(C) The Godfather
(D) Pride and Prejudice",(C)
19,"Find a movie similar to Beauty and the Beast, Independence Day, Forrest Gump, Jurassic Park:
Options:
(A) The Bag Man
(B) The Silence of the Lambs
(C) Extreme Measures
(D) Kicking Off",(B)
114,"Find a movie similar to One Flew Over the Cuckoo's Nest, Star Wars Episode V - The Empire Strikes Back, Léon The Professional, Reservoir Dogs:
Options:
(A) Thumbelina
(B) Hereafter
(C) The Thinning
(D) Raiders of the Lost Ark",(D)
68,"Find a movie similar to Pulp Fiction, Forrest Gump, Terminator 2 Judgment Day, Braveheart:
Options:
(A) Ruby & Quentin
(B) Insidious Chapter 3
(C) Fast Times at Ridgemont High
(D) The Fugitive",(D)
176,"Find a movie similar to Star Wars Episode VI - Return of the Jedi, Back to the Future, Toy Story, The Terminator:
Options:
(A) Europa
(B) 'night Mother
(C) Star Wars Episode IV - A New Hope
(D) Of Human Bondage",(C)
45,"Find a movie similar to The Fugitive, The Shawshank Redemption, Beauty and the Beast, Schindler's List:
Options:
(A) The Lion King
(B) Urban Cowboy
(C) Space Truckers
(D) Universal Soldier Day of Reckoning",(A)
55,"Find a movie similar to Terminator 2 Judgment Day, Pulp Fiction, Aladdin, The Lion King:
Options:
(A) Hawks and Sparrows
(B) The Scent of Green Papaya
(C) Schindler's List
(D) Le Maître d'école",(C)
10,"Find a movie similar to Forrest Gump, Pulp Fiction, The Fugitive, Dances with Wolves:
Options:
(A) Dragonheart 3 The Sorcerer's Curse
(B) Chi-Raq
(C) Stargate
(D) Tae Guk Gi The Brotherhood of War",(C)
30,"Find a movie similar to Independence Day, The Silence of the Lambs, Indiana Jones and the Temple of Doom, Fargo:
Options:
(A) Care Bears Movie II A New Generation
(B) Noises Off
(C) The Fugitive
(D) Lights Out",(C)
120,"Find a movie similar to The Fugitive, Fargo, Groundhog Day, The Princess Bride:
Options:
(A) John Q
(B) Raiders of the Lost Ark
(C) No Man's Land
(D) The Morning After",(B)
201,"Find a movie similar to The Silence of the Lambs, Forrest Gump, Die Hard With a Vengeance, Jurassic Park:
Options:
(A) Shine
(B) Banana Joe
(C) Max Keeble's Big Move
(D) Independence Day",(D)
33,"Find a movie similar to Braveheart, Dances with Wolves, Pulp Fiction, Schindler's List:
Options:
(A) Tickling Giants
(B) Shadow of the Vampire
(C) The Usual Suspects
(D) On the Town",(C)
141,"Find a movie similar to The Fugitive, Crimson Tide, Braveheart, The Shawshank Redemption:
Options:
(A) Pulp Fiction
(B) Autumn Marathon
(C) I'm Not There
(D) The Limey",(A)
219,"Find a movie similar to Men in Black, The Fugitive, Raiders of the Lost Ark, Fargo:
Options:
(A) The Silence of the Lambs
(B) College
(C) Music Box
(D) Get Smart",(A)
25,"Find a movie similar to Army of Darkness, Go, The Sixth Sense, Alien:
Options:
(A) Cool Hand Luke
(B) Children of the Corn III
(C) Ice Guardians
(D) Cinema Paradiso",(A)
111,"Find a movie similar to Dances with Wolves, Mr Holland's Opus, Stargate, Get Shorty:
Options:
(A) Ride with the Devil
(B) It Runs in the Family
(C) The Usual Suspects
(D) Anomalisa",(C)
18,"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Schindler's List, Dances with Wolves:
Options:
(A) Easter Parade
(B) Captain America The First Avenger
(C) Braveheart
(D) Manic",(C)
196,"Find a movie similar to Batman, Independence Day, Forrest Gump, The Silence of the Lambs:
Options:
(A) Skyline
(B) Jurassic Park
(C) Dragon Ball Z Broly - The Legendary Super Saiyan
(D) One Fine Day",(B)
180,"Find a movie similar to Star Wars Episode V - The Empire Strikes Back, The Lord of the Rings The Fellowship of the Ring, American Beauty, Forrest Gump:
Options:
(A) Upside Down The Creation Records Story
(B) The Adventures of Sherlock Holmes and Doctor Watson
(C) Waking Life
(D) The Lord of the Rings The Two Towers",(D)
159,"Find a movie similar to Goodfellas, Star Wars Episode V - The Empire Strikes Back, The Silence of the Lambs, Raiders of the Lost Ark:
Options:
(A) Ip Man 3
(B) Star Wars Episode IV - A New Hope
(C) The Wedding Ringer
(D) Delivery Man",(B)
118,"Find a movie similar to Braveheart, The Usual Suspects, Dances with Wolves, Pulp Fiction:
Options:
(A) Metropolis
(B) Nadja
(C) Marty
(D) Toy Story",(D)
96,"Find a movie similar to Batman, The Usual Suspects, The Silence of the Lambs, Jurassic Park:
Options:
(A) The End of the Tour
(B) Forrest Gump
(C) Lust
(D) Caution
(E) Shelter",(B)
108,"Find a movie similar to Apollo 13, Batman, Dances with Wolves, Braveheart:
Options:
(A) Schindler's List
(B) Crimes and Misdemeanors
(C) King Kong
(D) Gorillas in the Mist",(A)
185,"Find a movie similar to Dumb & Dumber, Jurassic Park, Schindler's List, Forrest Gump:
Options:
(A) The Counterfeiters
(B) Gone with the Wind
(C) Braveheart
(D) Pitfall",(C)
222,"Find a movie similar to Forrest Gump, The Silence of the Lambs, The Usual Suspects, The Blues Brothers:
Options:
(A) From Hell
(B) The Insider
(C) Independence Day
(D) Bride of Chucky",(C)
16,"Find a movie similar to Pulp Fiction, Braveheart, The Shawshank Redemption, Crimson Tide:
Options:
(A) Goon Last of the Enforcers
(B) A Very Harold & Kumar 3D Christmas
(C) The Fugitive
(D) A Separation",(C)
146,"Find a movie similar to Forrest Gump, The Shawshank Redemption, Pulp Fiction, Dances with Wolves:
Options:
(A) Women in Trouble
(B) The Fugitive
(C) Night at the Museum Secret of the Tomb
(D) While You Were Sleeping",(B)
69,"Find a movie similar to Pulp Fiction, Forrest Gump, The Fugitive, Braveheart:
Options:
(A) Little Women
(B) Dances with Wolves
(C) Bring It On All or Nothing
(D) Dead Alive",(B)
173,"Find a movie similar to Romancing the Stone, American Beauty, The Princess Bride, Star Wars Episode IV - A New Hope:
Options:
(A) Save the Last Dance
(B) Passion
(C) Being John Malkovich
(D) Trial and Error",(C)
38,"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Aladdin, The Lion King:
Options:
(A) Terminator 2 Judgment Day
(B) The Next Three Days
(C) Detachment
(D) Ruby Sparks",(A)
132,"Find a movie similar to Austin Powers International Man of Mystery, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, Mission Impossible:
Options:
(A) The Impostors
(B) Virunga
(C) Self-criticism of a Bourgeois Dog
(D) American Beauty",(D)
225,"Find a movie similar to The Godfather, Twelve Monkeys, Pi, Monty Python and the Holy Grail:
Options:
(A) Pulp Fiction
(B) The Machinist
(C) Yes Man
(D) Perfect Sense",(A)
238,"Find a movie similar to Apollo 13, Schindler's List, Pretty Woman, Braveheart:
Options:
(A) The Fly
(B) Metropia
(C) Ciao
(D) Professore!
(E) Dances with Wolves",(E)
119,"Find a movie similar to Aladdin, Toy Story, The Lion King, Pulp Fiction:
Options:
(A) Being Elmo A Puppeteer's Journey
(B) Far From Home The Adventures of Yellow Dog
(C) Terminator 2 Judgment Day
(D) RoboGeisha",(C)
136,"Find a movie similar to Apollo 13, Jurassic Park, The Silence of the Lambs, Forrest Gump:
Options:
(A) Somewhere
(B) Batman
(C) The Hot Chick
(D) The Apartment",(B)
66,"Find a movie similar to Pulp Fiction, Forrest Gump, Inside Out, Edge of Tomorrow:
Options:
(A) 1984
(B) Good Night
(C) and Good Luck
(D) Kiss of the Dragon
(E) District 9",(E)
217,"Find a movie similar to Dances with Wolves, The Shawshank Redemption, Braveheart, The Fugitive:
Options:
(A) The Village
(B) Beverly Hills Cop III
(C) Bring Me the Head of Alfredo Garcia
(D) Pulp Fiction",(D)
154,"Find a movie similar to Seven, Star Wars Episode IV - A New Hope, Star Wars Episode V - The Empire Strikes Back, American Beauty:
Options:
(A) Wadjda
(B) Gray's Anatomy
(C) Rear Window
(D) The Shaggy DA",(C)
168,"Find a movie similar to Fight Club, The Shawshank Redemption, Kill Bill Vol 1, Kill Bill Vol 2:
Options:
(A) Sorority House Massacre
(B) Evolution
(C) Memento
(D) Scooby-Doo Goes Hollywood",(C)
229,"Find a movie similar to Pulp Fiction, Braveheart, The Fugitive, Get Shorty:
Options:
(A) I Do How to Get Married and Stay Single
(B) Forrest Gump
(C) The Crossing Guard
(D) Jimmy Carr Making People Laugh",(B)
233,"Find a movie similar to Mr Holland's Opus, What's Eating Gilbert Grape, Braveheart, Don Juan DeMarco:
Options:
(A) Kevin Hart I'm a Grown Little Man
(B) IQ
(C) Pulp Fiction
(D) Penguins of Madagascar",(C)
156,"Find a movie similar to The Matrix, Inception, Pulp Fiction, Forrest Gump:
Options:
(A) Raiders of the Lost Ark
(B) Changing Lanes
(C) The Ewok Adventure
(D) High Noon",(A)
117,"Find a movie similar to Schindler's List, The Shawshank Redemption, Terminator 2 Judgment Day, Aladdin:
Options:
(A) The Double Life of Veronique
(B) Bridget Jones's Diary
(C) The Lion King
(D) Cujo",(C)
84,"Find a movie similar to Pulp Fiction, The Shawshank Redemption, Dances with Wolves, Stargate:
Options:
(A) The Fugitive
(B) The Boss of It All
(C) Barb Wire
(D) Basic Instinct 2",(A)
125,"Find a movie similar to Stargate, The Shawshank Redemption, Dances with Wolves, The Fugitive:
Options:
(A) Angel at My Table
(B) An
(C) Beauty of the Day
(D) Pulp Fiction
(E) The Omega Man",(D)
167,"Find a movie similar to Apollo 13, The Shawshank Redemption, Braveheart, Dances with Wolves:
Options:
(A) Beneath the Planet of the Apes
(B) Tokyo Decadence
(C) Batman
(D) I Sell the Dead",(C)
245,"Find a movie similar to The Usual Suspects, Schindler's List, Fargo, The Shawshank Redemption:
Options:
(A) With a Friend Like Harry
(B) Crash
(C) The Stepford Wives
(D) Pulp Fiction",(D)
109,"Find a movie similar to Pulp Fiction, Léon The Professional, Kill Bill Vol 2, Requiem for a Dream:
Options:
(A) Pushing Hands
(B) Mortal Kombat The Journey Begins
(C) Sin Nombre
(D) The Godfather",(D)
172,"Find a movie similar to The Shawshank Redemption, Forrest Gump, Pulp Fiction, Braveheart:
Options:
(A) A Woman Under the Influence
(B) It's the Great Pumpkin
(C) Charlie Brown
(D) The House
(E) Dances with Wolves",(E)
234,"Find a movie similar to Forrest Gump, Star Wars Episode IV - A New Hope, Back to the Future, Star Wars Episode VI - Return of the Jedi:
Options:
(A) The Apple
(B) Independence Day
(C) Boiling Point
(D) Car Wash",(B)
73,"Find a movie similar to American History X, Requiem for a Dream, Raiders of the Lost Ark, The Sixth Sense:
Options:
(A) Miss Meadows
(B) Little Man
(C) Goodfellas
(D) You Can't Take It with You",(C)
