,input,output
27,"a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates dataproducts is fighting .",dataproducts fighting
324,"but strength it showed throughout the session , a low of only 2102.2 hitting within the first few minutes of dealings .",it showed
192,the firm he joined in 1963 and it bought from the owners the next year .,he joined
331,jaguar ended 22 higher at 747 .,jaguar ended
172,"interest they pay only for 115 months , with principal payments beginning thereafter .",they pay
91,"mitsubishi is also pushing ahead with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
85,"38.5 % it is owned by canadian express , another holding company .",it owned
466,he did not go as far as he could have in tax reductions ; them he indeed combined with increases in indirect taxes .,he go
441,timing is of the essence with ru-486 .,timing is
494,57.5 % of the new subsidiary quebecor will own .,quebecor own
481,"that in the eye cancer , a damaged copy of a gene an infant inherited from one parent and a normal copy from the other he theorized .",he theorized
464,it could point to plenty of ailments that to cure the spanish economic rejuvenation so far has failed .,it point
19,"45 % of the franchise , which operations in aiken , s.c. , and augusta , ga has alltel holds .",alltel holds
145,"in the first nine months , 10 % profit rose to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
457,"the order ltv challenged , and in june 1988 that ltv responsibility for the plans to reassume the agency improperly ordered a federal district court in new york ruled .",ltv challenged
396,"and , in turn , the argument of those who execution under any circumstances oppose that would only strengthen .",that strengthen
436,"and because little presence general retail centers such as computerland have in japan , sales remain in the iron grip of established computer makers .",sales remain
54,"yesterday , an agreement its small applied color systems unit to sell to a subsidiary of the swiss company , brauerei eichof ltd armstrong announced .",armstrong announced
137,bnl was unable to elaborate on controls on its branches abroad to improve what measures were planned by the bank .,bnl was
437,little effort they long made here .,they made
264,"in fact , ltv was the first steelmaker discounts for buyers of cold rolled sheet steel and hot-dipped galvanized sheet steel to publicly boost .",ltv was
321,"at giant bicycle inc. , rancho dominguez , calif. , sales have tripled since the u.s. mountain-bike business the company entered in 1987 .",sales tripled
255,"intelogic was spun off four years ago from datapoint , after control of datapoint mr. edelman shortly took .",intelogic spun
387,that most of the net sales drop stemmed from a three-day period following the friday the 13th plunge he notes .,he notes
392,all defendants statistical evidence racially disproportionate application of the death penalty in the past showing to introduce it would allow .,it allow
428,"in the u.s. , many tasks pcs commonly perform and plug into a broad network .",pcs perform
5,but we can think of many reasons out to stay for the foreseeable future and well beyond .,we think
271,"29 % climbing from 787.02 billion yen sales amounted to 1.011 trillion yen , .",sales amounted
58,"he is 37 , an astronomer with impressive credentials , and something of a genius at his bidding computers do making .",he is
284,revenue of $ 76 million for the year ended march 31 the businesses to be acquired had cilcorp said .,cilcorp said
66,"a 12 % note for that overdue amount , to be repaid over three years healthcare has given healthvest .",healthcare given
376,"that an extreme case $ 8,000 represents and that its regular charge for lithotripsy is $ 4,900 humana contends .",humana contends
298,"last week an auction about 11 million yen to pay for the project expecting hiroshima held the contractor to pick , .",hiroshima held
156,"he joins nov. 13 , his consulting firm , canter , achenbaum associates dissolving .",he joins
63,angry he became in return .,he became
377,money it also saves .,it saves
240,"for all of 1988 , consolidated profit of 519 million francs bouygues had , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
60,some nights he slept under his desk .,he slept
293,the size of the offering ibm might increase to as much as $ 1 billion if investor demand is strong others said .,others said
386,their assets additional investors transferred into money funds this month analysts say .,analysts say
372,"despite valiant efforts by finance minister mailson ferreira da nobrega , inflation came to 36 % in september alone and 1,000 % to top for the year is expected .",inflation came
44,"nonvoting preferred shares , which are quoted on the milan stock exchange ifi also has .",ifi has
37,"the naggings of a culture imperative feeling , i promptly signed up .",i signed
470,"but a profile that selected transactions targets , rather than a blanket reporting requirement using banks may prefer .",banks prefer
127,"its new stanza a bit smaller than that nissan instead has kept and 6 % cut the base price ; at $ 11,450 , stanza prices start yet $ 749 below the predecessor model a more-powerful engine have .",nissan kept
375,"the 67-year-old mr. brizola has been vague about his intentions and often inflammatory in his rhetoric , but he probably would be pragmatic analysts say .",analysts say
16,"a wad of red man stuffing into his cheek , a slowball the fastball he brought into the majors in 1955 has become he admits .",he admits
430,"information to transfer from one to the other , printouts employees make and the data enter manually .",employees make
237,a higher offer is in the wings speculators are betting that indicates .,that indicates
425,but interest waned as the day wore on and investors looked ahead to the release later this week of two important economic reports .,interest waned
413,"permission is far from automatic : the legal right applications to turn down and conditions impose the soviets have , and these powers to be exercising they appear .",permission is
39,i looked at my watch .,i looked
177,but more help mexico urgently needs .,mexico needs
151,vast timberlands hugo felled .,hugo felled
332,"fresh buying was drawn into jaguar after a british television interviewer that talks with the luxury auto maker over possible joint ventures the west german company held a senior executive of daimler-benz , the auto maker , told during the weekend dealers said .",dealers said
408,at the time merchants were asking for premiums of about five cents a pound .,merchants asking
370,but substantial tax penalties violation could bring to both employer and employees .,violation bring
22,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats quoted
341,most municipal bonds ended 1/2 point higher traders said .,traders said
378,the antibiotic products to be exported to southeast asia and africa mitsui expects .,mitsui expects
113,ashurst is new to the far east .,ashurst is
231,it also found them rising much more in the northeast than elsewhere .,it found
320,"accessories not only sell faster than whole bikes , profit margins nearly double the 25 % to 30 % or so on sales of complete cycles they also offer .",they offer
399,the long-delayed settlement of britton vs. thomasini to hold up nothing was going .,nothing going
480,"last spring , a gene p53 called which , if impaired , healthy colon cells cancerous turns finding researchers then reported .",researchers reported
10,"the company is experimenting with the technique on alfalfa , and cotton and corn , among other crops to include plans he said .",he said
438,too much american companies charge critics also say .,critics say
478,"in recent months , to believe the two types of cancer genes work in concert : proliferating cells malignant the tumor-suppressor gene only after has been damaged an oncogene may turn researchers have come .",researchers come
195,"the gain in its fourth quarter , which ended yesterday would be recorded paramount said .",paramount said
499,he says 27 lawyers have left and 21 have been hired since his plan mr. thornburgh announced .,he says
218,"that he had spoken with mr. laidig , whom to he referred as a friend , by telephone monday evening he added .",he added
40,a whole morning of ballooning and i had been off the ground barely 30 minutes .,i been
161,20 % revenue increased to $ 246.6 million from $ 204.8 million .,revenue increased
439,"earlier this year , a much more powerful kanji operating system and a kanji laser printer it introduced .",it introduced
13,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
33,being a major source of price pressure summer drought problems that several southern agricultural regions had hit had stopped in september he said .,he said
357,japan is a major target for the soviets .,japan is
118,"this corporate glasnost is a big reason , after years of lackluster cars and lousy profits making , its rigid ways nissan has loosened up and a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan now is riding .",nissan loosened
385,unitholders to vote on the restructuring at a meeting dec. 15 it expects nrm said .,nrm said
79,that may not come as a surprise to americans who properties in the u.s. from golf courses to a stake in rockefeller center the japanese snap up have watched .,that come
12,"midmorning , an orange-and-blue uniform he dons and , for fun , a bunt from dave kingman may field .",he dons
94,"but it may amount to little more than posturing ; on-again , off-again settlement talks the two have continued over the last few weeks , and the matter could be resolved within a week people familiar with the talks say .",it amount
455,the new offer will begin saturday and run indefinitely ford said .,ford said
379,the u.s. market to enter it also hopes .,it hopes
188,the 1 % transaction tax on the first-time purchase of stakes in companies the government will also repeal he said .,he said
154,"in a statement to employees , the company was disappointed by the ruling eastern said .",eastern said
219,it was just the culture of the industry that it kept from happening .,it was
452,"mr. trotter it to take back they persuaded and , with the help of the fbi , their conversation with him taped .",they persuaded
193,"$ 3.40 hogs rose to $ 46.80 a hundredweight in october , while 80 cents beef cattle slipped to $ 67.40 for each hundred pounds and 90 cents calves dropped to $ 90.20 .",hogs rose
96,a milk for hispanic tastes goya concocts,goya concocts
225,"nekoosa also is being advised by goldman , sachs & co .",nekoosa advised
268,"at the time , only one profitable year behind it ( a modest $ 116,000 on revenue of $ 2.6 million in 1979 ) and no product of its own on the market genentech had .",genentech had
275,the buy programs came from very large institutional accounts that were also active in the stock-index futures markets traders said .,traders said
473,"profit-taking accounted for much of the slide in otc stock prices , according to david mills , senior vice president of boston company advisers .",profit-taking accounted
174,"japan ranks as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
70,"while his case may be extreme , the vulnerability of many small communities to domineering judges it reflects .",it reflects
472,that in the u.s. about $ 110 billion revenues from illegal drugs total annually authorities estimate .,authorities estimate
362,"images of a nation full of trim , muscular folks this conjures up , and couch potatoes are out of season suggests .",this conjures
170,memory and perception scientists also are exploring with the new machines .,scientists exploring
182,"artful use of semantics it also made , some that had been in the national domain redefining as non-strategic industries .",it made
