,input,output
0,"believes he in what plays he , and plays superbly he .",he believes
1,"felt it more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
2,"was it not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which his selections chooses mr. stoltzman .",it was
3,but was it neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it was
4,"is this the u.n. group that its own charter of education , science and culture promoting to traduce managed .",this is
5,but can think we of many reasons out to stay for the foreseeable future and well beyond .,we think
6,an even stronger argument against unesco than its unsurprising failure to reform see we .,we see
7,that the power of ideas unencumbered by international civil servants or government functionaries shows the reagan revolution eastern europe and tiananmen square spanning is this .,this is
8,"plenty of reasons to stay out , and none unesco to rejoin can see we .",we see
9,"a second gene , for herbicide resistance , attached they to the pollen-inhibiting gene .",they attached
10,"is experimenting the company with the technique on alfalfa , and cotton and corn , among other crops to include plans said he .",he said
11,"is today the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today is
12,"midmorning , an orange-and-blue uniform dons he and , for fun , a bunt from dave kingman may field .",he dons
13,these days hustles he to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
14,have been training some for months ; active status only recently left others .,others left
15,the plate no longer crowds he .,he crowds
16,"a wad of red man stuffing into his cheek , a slowball has become the fastball brought he into the majors in 1955 admits he .",he admits
17,will compensate he with the guile learned from his years in the majors .,he compensate
18,good control has he .,he has
19,"45 % of the franchise , which operations in aiken , s.c. , and augusta , ga has holds alltel .",alltel holds
20,traded reserves among commercial banks for overnight use in amounts of $ 1 million or more .,reserves traded
21,a 2.6 % decline in its raw-materials price index for september also reported it .,it reported
22,"currently are quoted seats at $ 400,000 bid , $ 425,000 asked .",seats quoted
23,a friendly transaction with jaguar that joint ventures and an eventual stake of just under 30 % likely would involve has been negotiating gm .,gm negotiating
24,"the first move will make ford , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share expect analysts .",analysts expect
25,"in a prepared statement , its plans for jaguar would be more valuable in the long run than the initial windfalls might reap investors from a hostile ford bid suggested gm .",gm suggested
26,"60 % of the venture will own dow , with the rest holding eli lilly .",dow own
27,"a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates is fighting dataproducts .",dataproducts fighting
28,"first , said he , are domestic interest rates likely to stay at higher levels as rising consumer prices reported last week followed increased anticipation of inflation .",he said
29,"despite the modest gains , dull remains the market , with remaining cautiously investors on the sidelines said traders .",traders said
30,were prices mixed in zurich and lower in stockholm .,prices were
31,"closed higher stocks in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks closed
32,was closed taipei for a holiday .,taipei closed
33,being a major source of price pressure had stopped summer drought problems that several southern agricultural regions had hit in september said he .,he said
34,"is its unit the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million said metromedia .",metromedia said
35,"was the average six-month yield on a jumbo cd at 7.90 % , down from 7.93 % , said banxquote .",banxquote said
36,"for longer-term cds , were up yields .",yields were
