,input,label
142,"I have an orange, a plum, two nectarines, a grape, and a banana. How many fruits do I have?",6
6,"I have a car, and a toaster. How many objects do I have?",2
97,"I have two fridges, a table, a toaster, a chair, a bed, an oven, a couch, a car, four microwaves, and a stove. How many objects do I have?",14
60,"I have three cauliflowers, a lettuce head, a cabbage, a carrot, three garlics, three onions, three heads of broccoli, a stalk of celery, a yam, and a potato. How many vegetables do I have?",18
112,"I have a potato, five stalks of celery, a yam, a garlic, two lettuce heads, a cabbage, and a head of broccoli. How many vegetables do I have?",12
181,"I have a garlic, a cabbage, a yam, a carrot, and a stalk of celery. How many vegetables do I have?",5
197,"I have a stove, two tables, three toasters, a fridge, a lamp, a microwave, three chairs, a bed, a car, and a couch. How many objects do I have?",15
184,"I have two violins, a drum, a flute, a trumpet, and a clarinet. How many musical instruments do I have?",6
9,"I have a stove, a chair, two tables, a toaster, a fridge, three beds, and a couch. How many objects do I have?",10
104,"I have a bear, two snakes, a rabbit, a microwave, a goat, and three cats. How many animals do I have?",8
200,"I have a raspberry, a plum, a strawberry, a grape, a banana, a blackberry, and an apple. How many fruits do I have?",7
216,"I have a fridge, a bed, a toaster, a car, a microwave, a chair, a lamp, a table, a couch, and two stoves. How many objects do I have?",11
236,"I have a trumpet, a drum, a piano, a flute, and two trombones. How many musical instruments do I have?",6
240,"I have a head of broccoli, an onion, a garlic, two carrots, a lettuce head, two cabbages, a cauliflower, a stalk of celery, two potatoes, and two yams. How many vegetables do I have?",14
67,"I have four lamps, a fridge, a bed, a car, a toaster, and a stove. How many objects do I have?",9
224,"I have an apple, a head of broccoli, a nectarine, a grape, a banana, an onion, a raspberry, a strawberry, two peaches, two plums, an orange, and three blackberries. How many fruits do I have?",14
194,"I have a cow, two dogs, a mouse, a donkey, a snail, a snake, a cat, a pig, a bear, and three rabbits. How many animals do I have?",13
15,"I have a duck, a peach, a strawberry, a fish, two chickens, a bear, and a banana. How many animals do I have?",5
177,"I have two fish, four cats, two chickens, a mouse, and a goat. How many animals do I have?",10
24,"I have a potato, a yam, two heads of broccoli, and a cauliflower. How many vegetables do I have?",5
247,"I have a fish, a snail, and two rabbits. How many animals do I have?",4
19,"I have a piano, a trombone, a clarinet, a goat, an accordion, and a trumpet. How many musical instruments do I have?",5
114,"I have a donkey, a goat, and a cow. How many animals do I have?",3
68,"I have a clarinet, and a trombone. How many musical instruments do I have?",2
176,"I have an oven, a bed, a lamp, a chair, a fridge, a microwave, and a toaster. How many objects do I have?",7
45,"I have a donkey, a chicken, a pig, and a snail. How many animals do I have?",4
55,"I have a trumpet, a stove, a trombone, two flutes, and three clarinets. How many musical instruments do I have?",7
10,"I have a chair, a stove, a table, two lamps, a bed, a couch, a toaster, a microwave, and a car. How many objects do I have?",10
30,"I have an orange, three strawberries, an apple, three bananas, three raspberries, a peach, a blackberry, a grape, a plum, and two nectarines. How many fruits do I have?",17
120,"I have an oven, a bed, three couches, a car, a lamp, a microwave, four tables, a toaster, a stove, and a chair. How many objects do I have?",15
201,"I have an apple, and two blackberries. How many fruits do I have?",3
33,"I have an orange, an apple, and a blackberry. How many fruits do I have?",3
141,"I have a car, a chair, three toasters, four stoves, two fridges, a bed, and four ovens. How many objects do I have?",16
219,"I have a stove, two microwaves, a table, an oven, a toaster, four chairs, a car, and a fridge. How many objects do I have?",12
25,"I have two heads of broccoli, an apple, a lettuce head, and two onions. How many vegetables do I have?",5
111,"I have a peach, a raspberry, and a nectarine. How many fruits do I have?",3
18,"I have a blackberry, a plum, and a banana. How many fruits do I have?",3
196,"I have a clarinet, a trumpet, a drum, a piano, and an accordion. How many musical instruments do I have?",5
180,"I have a donkey, a snail, a pig, a chicken, a fish, a mouse, and a cat. How many animals do I have?",7
159,"I have three potatoes, a carrot, a snake, a yam, a cauliflower, a stalk of celery, and a garlic. How many vegetables do I have?",8
118,"I have a trombone, a violin, an accordion, a drum, a trumpet, five pianos, a flute, and a clarinet. How many musical instruments do I have?",12
96,"I have two carrots, a garlic, an onion, and a head of broccoli. How many vegetables do I have?",5
108,"I have an accordion, three goats, two cows, a pig, a rabbit, a snake, and a trumpet. How many animals do I have?",8
185,"I have a couch, a car, a stove, a chair, an oven, a toaster, a bed, two lamps, and a fridge. How many objects do I have?",10
222,"I have a yam, two lettuce heads, and a head of broccoli. How many vegetables do I have?",4
16,"I have a microwave, a table, a fridge, a stove, an oven, a toaster, a couch, and four cars. How many objects do I have?",11
146,"I have a drum, a violin, three trombones, two flutes, a piano, and an accordion. How many musical instruments do I have?",9
69,"I have a trumpet, a flute, an accordion, and a trombone. How many musical instruments do I have?",4
173,"I have three snakes, a cat, a bear, two goats, a chicken, a donkey, a car, and a fish. How many animals do I have?",10
38,"I have a raspberry, a grape, and an orange. How many fruits do I have?",3
132,"I have a couch, an oven, four toasters, a car, a lamp, five tables, a chair, a stove, and a bed. How many objects do I have?",16
225,"I have a peach, a plum, a blackberry, and an apple. How many fruits do I have?",4
238,"I have a pig, a fish, a mouse, a frog, a dog, a rabbit, a donkey, a chicken, and a duck. How many animals do I have?",9
119,"I have a clarinet, an accordion, a cabbage, two flutes, a piano, a drum, a trombone, a lettuce head, and two violins. How many musical instruments do I have?",9
136,"I have a peach, an orange, an apple, a raspberry, a grape, a blackberry, a plum, and a strawberry. How many fruits do I have?",8
66,"I have a grape, and a plum. How many fruits do I have?",2
217,"I have a toaster, a car, and a table. How many objects do I have?",3
154,"I have a banana, a nectarine, a raspberry, an apple, and a peach. How many fruits do I have?",5
168,"I have a toaster, a table, and a fridge. How many objects do I have?",3
229,"I have two cars, and an oven. How many objects do I have?",3
233,"I have a car, a fridge, an oven, a toaster, a couch, three lamps, five chairs, a stove, and a microwave. How many objects do I have?",15
156,"I have a trumpet, a piano, a flute, a snake, three accordions, a violin, a drum, a clarinet, and a trombone. How many musical instruments do I have?",10
117,"I have two cows, a fish, a chicken, a snake, and two mice. How many animals do I have?",7
84,"I have a trombone, a flute, a violin, an accordion, a piano, and a trumpet. How many musical instruments do I have?",6
125,"I have a chicken, a snail, three dogs, a snake, and a goat. How many animals do I have?",7
167,"I have a lettuce head, a stalk of celery, two yams, a cauliflower, a carrot, two onions, two potatoes, and three cabbages. How many vegetables do I have?",13
245,"I have a goat, an orange, a nectarine, three plums, and four strawberries. How many fruits do I have?",9
109,"I have three stalks of celery, a duck, a yam, a head of broccoli, four pigs, and a garlic. How many vegetables do I have?",6
172,"I have a grape, a banana, and a blackberry. How many fruits do I have?",3
234,"I have a trumpet, a drum, an accordion, and a piano. How many musical instruments do I have?",4
73,"I have two microwaves, a fridge, a chair, a car, two couches, a toaster, a stove, a lamp, and a bed. How many objects do I have?",11
158,"I have an onion, a carrot, a potato, a yam, three lettuce heads, two cauliflowers, a garlic, and a cabbage. How many vegetables do I have?",11
115,"I have a flute, and a trombone. How many musical instruments do I have?",2
75,"I have a lettuce head, a cabbage, five onions, a potato, three stalks of celery, a cauliflower, a garlic, a yam, and four heads of broccoli. How many vegetables do I have?",18
237,"I have an onion, two carrots, two potatoes, a stalk of celery, a head of broccoli, a cauliflower, a cabbage, a lettuce head, a garlic, and a yam. How many vegetables do I have?",12
82,"I have a lettuce head, a cauliflower, a yam, two cabbages, four heads of broccoli, a potato, a garlic, a carrot, a stalk of celery, and an onion. How many vegetables do I have?",14
29,"I have a piano, an accordion, three trombones, five clarinets, a violin, a drum, a trumpet, and three flutes. How many musical instruments do I have?",16
126,"I have a toaster, a bed, a stove, a car, a microwave, a lamp, and a table. How many objects do I have?",7
79,"I have an oven, a chair, two toasters, a table, two microwaves, a lamp, a couch, two beds, and a fridge. How many objects do I have?",12
86,"I have a trumpet, two violins, a clarinet, an accordion, a piano, a snail, a fish, a trombone, a drum, and a flute. How many musical instruments do I have?",9
5,"I have a fish, a bear, and a frog. How many animals do I have?",3
56,"I have a mouse, a pig, four fish, a donkey, a rabbit, a dog, three goats, a duck, and three chickens. How many animals do I have?",16
186,"I have four couches, a microwave, a table, a chair, a fridge, four stoves, a lamp, a car, an oven, and a toaster. How many objects do I have?",16
231,"I have a clarinet, a couch, a flute, four chairs, five trombones, a drum, a trumpet, a violin, and an accordion. How many musical instruments do I have?",11
170,"I have a trombone, three clarinets, an accordion, two violins, a flute, a drum, a trumpet, and a piano. How many musical instruments do I have?",11
65,"I have a cow, three mice, a dog, a duck, and two snakes. How many animals do I have?",8
140,"I have a chair, and two microwaves. How many objects do I have?",3
124,"I have a stove, a bed, five cars, a couch, a toaster, two fridges, a chair, and a lamp. How many objects do I have?",13
213,"I have a trombone, a trumpet, a piano, a clarinet, a flute, a violin, an accordion, and a drum. How many musical instruments do I have?",8
148,"I have a head of broccoli, and a yam. How many vegetables do I have?",2
31,"I have a microwave, a lamp, four cars, a stove, a toaster, and a bed. How many objects do I have?",9
12,"I have a piano, a flute, and four trombones. How many musical instruments do I have?",6
35,"I have a mouse, a rabbit, a dog, a duck, and two goats. How many animals do I have?",6
28,"I have a cauliflower, a stalk of celery, a cabbage, and a garlic. How many vegetables do I have?",4
42,"I have a trombone, a violin, a clarinet, an accordion, four flutes, a trumpet, two drums, and a piano. How many musical instruments do I have?",12
218,"I have a potato, a cabbage, a cauliflower, a duck, an onion, a lettuce head, a garlic, a bear, a head of broccoli, a carrot, a chicken, and three yams. How many vegetables do I have?",11
22,"I have a flute, two clarinets, a piano, a violin, and three accordions. How many musical instruments do I have?",8
93,"I have a trombone, a trumpet, a clarinet, a drum, a violin, a piano, an accordion, and a flute. How many musical instruments do I have?",8
212,"I have three clarinets, a trombone, two pianos, an accordion, and a trumpet. How many musical instruments do I have?",8
101,"I have a fridge, a chair, three beds, four microwaves, an oven, and a table. How many objects do I have?",11
