,input,output
90,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
254,but it to be the sort of hold one makes while heading for the door appears .,it appears
283,"volume totaled 11,820,000 shares .",volume totaled
445,"in stock-index arbitrage , traders large amounts of stocks with offsetting trades in stock-index futures and options buy and sell .",traders buy
461,they another crop of instant commercials trotted out a few weeks ago after the sudden market dip .,they trotted
15,he the plate no longer crowds .,he crowds
316,she her duties of human-resources director retains .,she retains
489,they focused on chromosome 17 .,they focused
159,"he will concentrate on , among others , j.p. morgan and hyundai .",he concentrate
153,"in august , he the ruling that the pilots their back-pay grievance pursue before the arbitrator let issued .",he issued
241,"for all of 1988 , bouygues consolidated profit of 519 million francs had , after payments to minority interests , on revenue of 50 billion francs .",bouygues had
250,gen-probe was another active takeover stock .,gen-probe was
390,officials their own nuances express letting can be educational .,officials express
289,"in stock-index arbitrage , traders large amounts of stock with offsetting trades in stock-index futures buy and sell to profit from fleeting price discrepancies between the two markets .",traders buy
171,"at the state university of new york at brooklyn , researchers two groups of different letters flash on a computer screen in front of human guinea pigs .",researchers flash
329,"prices were up across the board , with most blue-chip stocks solid gains registering .",prices were
468,"he more should do tax rates on wealth and income to reduce , in recognition of the fact that those cuts higher , not lower , revenues yield .",he do
355,"and , despite its image as a technology superpower , japan a lot of weaknesses has .",japan has
154,"in a statement to employees , eastern the company was disappointed by the ruling said .",eastern said
37,"the naggings of a culture imperative feeling , i promptly signed up .",i signed
205,tass the final budget and economic plan calls for a sharp increase in the production of consumer goods said .,tass said
366,"in a public opinion poll published in the october issue of parents magazine , a third of those queried they that ghosts or spirits themselves known to people make believe said .",they believe
240,revenue 21 % rose to 22.61 billion francs from 18.69 billion francs .,revenue rose
108,israel has been accused in the past of subterfuge using elements nuclear weapons to develop needed to seek .,israel accused
45,"it financing of 300 billion lire raised for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a.",it raised
438,they little effort long made here .,they made
21,it a 2.6 % decline in its raw-materials price index for september also reported .,it reported
367,"i attend , and a television crew from new york city so does .",i attend
96,goya a milk for hispanic tastes concocts,goya concocts
233,it 4.8 % rose for the 12 months ended in june and 4.7 % in the 12 months ended in september 1988 .,it rose
428,"but for now , at least , americans are far better at pcs and the software that them runs making .",americans are
118,"this corporate glasnost is a big reason , after years of lackluster cars and lousy profits making , nissan its rigid ways has loosened up and a string of hits , ranging from the sleek maxima sedan and porsche-like 300zx to the whimsically nostalgic pao , a minicar sold only in japan now is riding .",nissan loosened
124,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan toyota and honda still trails .",nissan trails
191,"chemical steven edelson resigned recently said , but one individual close to the situation the resignation was forced said .",chemical said
374,"that hyperinflation might have been considered not long ago , but argentina price increases of almost 200 % endured in july before the rate bringing down sharply in august and september .",that considered
492,"he vertical integration already has achieved on a limited scale : quebecor a weekly newspaper can put on almost any quebec doorstep without outside help using , from the tree chopping down the newsprint to making it to flinging up onto the porch .",he achieved
311,"he is a mechanical engineer , not an atmospheric chemist .",he is
451,they the art then took to acapulco and some of it to trade for cocaine began .,they took
353,genprobe a net loss of $ 9.5 million had on revenue of $ 5.8 million .,genprobe had
238,that speculators a higher offer is in the wings are betting indicates .,that indicates
322,emc data-storage systems for mainframes and minicomputers manufactures .,emc manufactures
46,"and it such activities treats in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
