,input,label
142,"Which sentence has the correct adjective order:
Options:
(A) brand-new green cloth typing knife
(B) cloth brand-new green typing knife",(A)
6,"Which sentence has the correct adjective order:
Options:
(A) tan silly old-fashioned dog
(B) silly old-fashioned tan dog",(B)
97,"Which sentence has the correct adjective order:
Options:
(A) big cloth typing Russian terrible computer
(B) terrible big Russian cloth typing computer",(B)
60,"Which sentence has the correct adjective order:
Options:
(A) old-fashioned white Russian iron computer
(B) old-fashioned Russian white iron computer",(A)
112,"Which sentence has the correct adjective order:
Options:
(A) brand-new terrible large cat
(B) terrible large brand-new cat",(B)
181,"Which sentence has the correct adjective order:
Options:
(A) green typing Brazilian archaic normal-size car
(B) normal-size archaic green Brazilian typing car",(B)
197,"Which sentence has the correct adjective order:
Options:
(A) awful little triangular paper motorcycle
(B) triangular awful paper little motorcycle",(A)
184,"Which sentence has the correct adjective order:
Options:
(A) repulsive rectangular black huge lead match
(B) repulsive huge rectangular black lead match",(B)
9,"Which sentence has the correct adjective order:
Options:
(A) enormous rectangular blue dog
(B) enormous blue rectangular dog",(A)
104,"Which sentence has the correct adjective order:
Options:
(A) repulsive normal-size green old-fashioned cardboard surfboard
(B) repulsive normal-size old-fashioned green cardboard surfboard",(B)
200,"Which sentence has the correct adjective order:
Options:
(A) silly midsize rectangular Thai paper dog
(B) midsize Thai silly paper rectangular dog",(A)
216,"Which sentence has the correct adjective order:
Options:
(A) cloth Vietnamese little ancient sweater
(B) little ancient Vietnamese cloth sweater",(B)
236,"Which sentence has the correct adjective order:
Options:
(A) huge purple motorcycle
(B) purple huge motorcycle",(A)
240,"Which sentence has the correct adjective order:
Options:
(A) red little silly cloth eating rectangular sock
(B) silly little rectangular red cloth eating sock",(B)
67,"Which sentence has the correct adjective order:
Options:
(A) big ancient square red American cardboard eating shoe
(B) red ancient big cardboard American square eating shoe",(A)
224,"Which sentence has the correct adjective order:
Options:
(A) repulsive Ethiopian large red smoking pyramidal chair
(B) repulsive large pyramidal red Ethiopian smoking chair",(B)
194,"Which sentence has the correct adjective order:
Options:
(A) German gray lovely ship
(B) lovely gray German ship",(B)
15,"Which sentence has the correct adjective order:
Options:
(A) enormous yellow Egyptian driving computer
(B) driving yellow enormous Egyptian computer",(A)
177,"Which sentence has the correct adjective order:
Options:
(A) archaic ridiculous prismlike tiny cardboard Thai sock
(B) ridiculous tiny archaic prismlike Thai cardboard sock",(B)
24,"Which sentence has the correct adjective order:
Options:
(A) new leather big triangular American chair
(B) big new triangular American leather chair",(B)
247,"Which sentence has the correct adjective order:
Options:
(A) silly old-fashioned Indian driving knife
(B) old-fashioned silly Indian driving knife",(A)
19,"Which sentence has the correct adjective order:
Options:
(A) repulsive big rectangular pink steel exercise shoe
(B) pink big exercise repulsive steel rectangular shoe",(A)
114,"Which sentence has the correct adjective order:
Options:
(A) black typing awful computer
(B) awful black typing computer",(B)
68,"Which sentence has the correct adjective order:
Options:
(A) rectangular tiny purple fiberglass dog
(B) tiny rectangular purple fiberglass dog",(B)
176,"Which sentence has the correct adjective order:
Options:
(A) tan wool huge awful car
(B) awful huge tan wool car",(B)
45,"Which sentence has the correct adjective order:
Options:
(A) wonderful tiny old tan iron driving motorcycle
(B) driving tiny wonderful iron old tan motorcycle",(A)
55,"Which sentence has the correct adjective order:
Options:
(A) silly huge old-fashioned triangular tan Pakistani baby
(B) triangular tan Pakistani silly huge old-fashioned baby",(A)
10,"Which sentence has the correct adjective order:
Options:
(A) good pyramidal grey Indian cloth computer
(B) good pyramidal cloth Indian grey computer",(A)
30,"Which sentence has the correct adjective order:
Options:
(A) small grey square cloth Japanese shoe
(B) small square grey Japanese cloth shoe",(B)
120,"Which sentence has the correct adjective order:
Options:
(A) fiberglass old surfboard
(B) old fiberglass surfboard",(B)
