,input,output,orig_id
577,A dam is made of concert.,A dam is not made of concert.,e8e115ae5e6c932a8eaebb7e3fa7ce16
281,Frank R. Reid was born in Aurora.,Frank R. Reid was not born in Aurora.,2f721df8-ff9b-4110-bc7e-435c15ece211
361,Frans de Momper died in Antwerp.,Frans de Momper did not die in Antwerp.,3032f8b5-135c-479f-88fc-7ed37c5ce94b
588,Some politicians are puppets.,Some politicians are not puppets.,33ae05496e63f4e39fe8aaa2e19936d7
801,Como Ama una Mujer was written in Spanish.,Como Ama una Mujer was not written in Spanish.,5792c1aa-67bb-4460-abb7-a9483a4a132d
218,The couhtry to the south of kenya is is Tanzania.,The couhtry to the south of kenya is not Tanzania.,5728dab94b864d1900164f99_0
301,Donald Steven was born in Montreal.,Donald Steven was not born in Montreal.,a758a1b1-c236-4090-aa79-9d4f8689e56e
525,Felines are carnivores.,Felines are not carnivores.,dfb22405c5bf48983d3039b17da99b29
196,The arket price of skill is reflected by wages.,The arket price of skill is not reflected by wages.,5729d878af94a219006aa66d_0
191,The sport that attracts most tourists to Jacksonville is golf.,The sport that attracts most tourists to Jacksonville is not golf.,5727cd7dff5b5019007d958f_0
630,Dogs are hairy.,Dogs are not hairy.,d1df110439872e79775ae8e7e29f38df
599,Socialising requires grace.,Socialising does not require grace.,b7263fd762831f5ae9f96bf8bd046407
620,Some people are entrepreneurs.,Some people are not entrepreneurs.,3e22b63881b148409b5887a5b6dfa4be
656,Sneezing is disruptive.,Sneezing is not disruptive.,e553735eb1a71dfef6b1a49d9abe181b
439,E. R. Squibb died in Brooklyn.,E. R. Squibb did not die in Brooklyn.,135afd3b-fd58-4322-a692-3761e1ba4097
246,The organization that continued to be a major disruptive force in Palestine is Hamas.,The organization that continued to be a major disruptive force in Palestine is not Hamas.,573020f7b2c2fd14005688f7_0
82,Luther's hymn Christ unser Herr zum jordan kam concerns baptism.,Luther's hymn Christ unser Herr zum jordan kam does not concern baptism.,56f87e95aef237190062610a_0
472,A computer contains software.,A computer does not contain software.,9367412d3acac1acbcd4e651c0df0eba
90,The motion picture industry is accociated with a disctrict named Hollywood.,The motion picture industry is accociated with a disctrict not named Hollywood.,5705eb3375f01819005e7764_0
332,George B. Rabb was born in Charleston.,George B. Rabb was not born in Charleston.,555bbfb7-985d-4d77-af6f-4bc6e2b43293
746,"The capital of Andrew County is Savannah, Missouri.","The capital of Andrew County is not Savannah, Missouri.",646acdd9-c793-4a50-9534-3c631dcea026
397,Jacobus Trigland died in Leiden.,Jacobus Trigland did not die in Leiden.,2949b35d-d915-487d-a2fb-6db9a1faa5f8
322,Hallgeir Langeland was born in Strand.,Hallgeir Langeland was not born in Strand.,fa3a7d28-6dd7-4076-9b60-849295fd6d39
695,Giraffes are herbivores.,Giraffes are not herbivores.,3333938df714e1baef37415e633f58d5
828,Vietnam is located in Asia.,Vietnam is not located in Asia.,8a1cea73-fc7f-4c11-9aed-5aa295bfbad1
14,Richard G. Wilkinson and Kate Pickett are British.,Richard G. Wilkinson and Kate Pickett are not British.,572a06866aef0514001551be_0
895,Leser Landshuth died in Berlin.,Leser Landshuth did not die in Berlin.,67fd0952-9c0c-486a-a516-8c3ba03c6b3a
425,Harry Jones died in Vancouver.,Harry Jones did not die in Vancouver.,51f4cec6-bcac-4c0c-940a-75c9a2df1b1d
484,Computers can multitask.,Computers cannot multitask.,0ae61958a2fdb1033aef713da43b0ebd
211,The 20th anniversary special show of Doctor Who was shown on PBS before being shown on BBC.,The 20th anniversary special show of Doctor Who was  not shown on PBS before being shown on BBC.,5728231fff5b5019007d9dd4_0
100,The center of dairy farming in Austalia is in Victoria.,The center of dairy farming in Austalia is not in Victoria.,570d4606b3d812140066d619_0
483,Granite can be carved.,Granite cannot be carved.,61c480255346c939dadf7a6c622f200e
854,Yakubu Gowon is a politician by profession.,Yakubu Gowon is not a politician by profession.,19f06e6c-d71e-4adb-aa1a-8d61303484cb
717,Awaking requires a stimulus.,Awaking does not require a stimulus.,c2da0c08d72ca8b58b168af4d9dbaa34
456,Snowflakes are pretty.,Snowflakes are not pretty.,57a93bb1c9229beb71638eee744d98e8
787,Kenya maintains diplomatic relations with Italy.,Kenya does not maintain diplomatic relations with Italy.,bf6a6f66-78a2-4f36-a60b-4dda32e2e151
898,Silica gel consists of silicon.,Silica gel does not consist of silicon.,e4298b15-a19a-4313-a6bd-a4534970cf8c
508,Some flowers are fragrant.,Some flowers are not fragrant.,259c396d68dc52966c6f957eaddfa2e5
221,The main religion in Kenya is Christianity.,The main religion in Kenya is not Christianity.,572922206aef051400154a8a_0
538,Sometimes pretending causes distrust.,Sometimes pretending does not cause distrust.,c2e3314aee12dfad70b5e4524f8bf5fd
849,Australia maintains diplomatic relations with Bulgaria.,Australia does not maintain diplomatic relations with Bulgaria.,d4555048-0698-4805-94e0-f66f38da42a5
756,Santo Amaro has the position of abbot.,Santo Amaro does not have the position of abbot.,4f59efbd-453b-4377-8256-c1c59c0ffd73
255,The capital of the Ottoman empire was Istanbul.,The capital of the Ottoman empire was not Istanbul.,5730bd00069b5314008322d7_0
582,Stupidity is contagious.,Stupidity is not contagious.,d91be13c3b7045e50bdb686432171ce9
391,Okumura Masanobu died in Japan.,Okumura Masanobu did not die in Japan.,f473bb8d-6515-4f78-ade8-3cc7dd066e3a
663,Some ships can be made of wood.,Some ships cannot be made of wood.,9bf17f1ac3e18d23ffa20e1ad9081306
637,Some flowers are perennial.,Some flowers are not perennial.,82bd6d99270f951e3e0a5ca276236035
684,The ocean is beautiful.,The ocean is not beautiful.,b82b7e0ceee6b2cbf5417e4578e0de9d
276,Paweł Zalewski was born in Warsaw.,Paweł Zalewski was not born in Warsaw.,d5818dfa-2ca5-411a-9555-67f1b75e8019
657,Zucchini is a vegetable.,Zucchini is not a vegetable.,e0b104dffc498b39f1c75788d27061ae
536,The birds are singing.,The birds are not singing.,fa37dc89fe3843d5da917955dafdccaa
412,Mary Balfour Herbert died in London.,Mary Balfour Herbert did not die in London.,7643c16f-a9d8-4c7f-a630-337087949729
206,David Castlles-Quintana and Vicente Royuela are economists.,David Castlles-Quintana and Vicente Royuela are not economists.,572a0ecb1d04691400779717_0
444,Reuben Robie died in Bath.,Reuben Robie did not die in Bath.,2ce808ca-311e-48d3-a607-582a09ba08c3
687,Some people are altruistic.,Some people are not altruistic.,2e9669b9fb545c79ed49df063d36a0a0
290,John Boling was born in Indianapolis.,John Boling was not born in Indianapolis.,a73f817a-2835-4318-8f7c-475a52c52863
231,The Rhine encounter it's main tributaries in Germany.,The Rhine does not encounter it's main tributaries in Germany.,572ff07304bcaa1900d76ef6_0
748,Independence Hall is located in Philadelphia.,Independence Hall is not located in Philadelphia.,de05c0b0-b804-408d-9f35-0cf88b1b5257
402,George Georgescu died in Bucharest.,George Georgescu did not die in Bucharest.,b06a2bfe-4359-438c-ae60-c3f8a5a4e02a
365,Helvi Leiviskä died in Helsinki.,Helvi Leiviskä did not die in Helsinki.,28ef34a5-d13e-46fa-9eea-0723191e787a
567,Mechanics are unimaginative.,Mechanics are not unimaginative.,44f7e19479d3606ee67a753d646881fe
863,Gazzetta Chimica Italiana was written in Italian.,Gazzetta Chimica Italiana was not written in Italian.,fc6b6233-c47f-409e-bdde-6ddbc657f0e3
37,"After starting his company, Tesla first received patents.","After starting his company, Tesla first did not receive patents.",56dfb5777aa994140058e024_0
776,Arthur Oliver Wheeler works for Canada.,Arthur Oliver Wheeler does not work for Canada.,ca3b28fe-196e-4ccf-99ee-8ba91ee08135
93,Aerospace has managed to survive major military spending cutbacks.,Aerospace has not managed to survive major military spending cutbacks.,57060a1175f01819005e78d6_0
189,The first US state to have compulsory education was Massachusetts.,The first US state to have compulsory education was not Massachusetts.,572759665951b619008f8883_0
658,Iron can be forged.,Iron cannot be forged.,5fbe5546a715d7c54782863a0ec8715d
226,Konstantin Mereschkowski had a career as biologist.,Konstantin Mereschkowski did not have a career as biologist.,572956c86aef051400154d1c_0
