,input,output,input_count
988,consideration,considerations,1413
57,level,levels,18069
667,flank,flanks,2361
601,appointment,appointments,2736
1278,patch,patches,904
1810,penis,penises,446
1898,militant,militants,393
1896,registry,registries,393
1607,projection,projections,585
1059,cave,caves,1254
945,wheel,wheels,1523
1194,cluster,clusters,1028
1565,neighbor,neighbors,621
162,majority,majorities,9212
1044,mistake,mistakes,1294
324,mile,miles,5022
423,transfer,transfers,3919
71,case,cases,15506
361,strike,strikes,4580
729,roll,rolls,2139
1009,exploration,explorations,1377
892,bombardment,bombardments,1657
1929,spear,spears,377
1777,premium,premiums,467
1346,membrane,membranes,819
1482,lab,labs,684
1250,slot,slots,946
996,doctrine,doctrines,1402
1744,peasant,peasants,489
790,trail,trails,1942
622,attendance,attendances,2579
1529,robot,robots,644
1550,trainer,trainers,626
1033,batsman,batsmen,1311
1236,afford,affords,962
125,turn,turns,11150
972,mill,mills,1457
1269,rendition,renditions,914
1936,manoeuvre,manoeuvres,375
822,doubt,doubts,1857
404,stadium,stadiums,4148
1935,classroom,classrooms,375
1737,synth,synths,496
1453,surgeon,surgeons,715
1181,millimeter,millimeters,1041
1082,operator,operators,1210
1318,stake,stakes,852
984,shield,shields,1424
87,crew,crews,13380
1360,consumer,consumers,807
919,cathedral,cathedrals,1601
325,budget,budgets,5017
767,component,components,2005
1854,semifinal,semifinals,414
150,feature,features,9623
6,song,songs,63734
1411,verdict,verdicts,754
1800,bunker,bunkers,452
233,concept,concepts,6802
1156,trademark,trademarks,1074
1595,institute,institutes,595
68,station,stations,16274
1758,vitamin,vitamins,480
1630,glider,gliders,567
1381,pipe,pipes,789
960,cruise,cruises,1485
1131,physician,physicians,1125
653,patrol,patrols,2442
197,board,boards,7657
124,surface,surfaces,11168
918,lawsuit,lawsuits,1601
1543,kickoff,kickoffs,631
1369,predator,predators,798
144,view,views,10094
1872,capsule,capsules,404
1187,keyboard,keyboards,1036
561,convoy,convoys,2947
526,judge,judges,3199
1557,quote,quotes,624
606,benefit,benefits,2699
506,rival,rivals,3299
461,chorus,choruses,3580
1620,deposit,deposits,577
1831,asset,assets,431
927,exhibit,exhibits,1576
1808,crusade,crusades,448
1367,luxury,luxuries,800
760,tenure,tenures,2028
1053,joke,jokes,1274
1418,blog,blogs,748
1811,pathway,pathways,446
804,representation,representations,1899
1103,essay,essays,1177
559,shell,shells,2960
524,habitat,habitats,3204
757,execution,executions,2039
851,victim,victims,1762
360,element,elements,4598
106,section,sections,11679
1706,monopoly,monopolies,517
