,input,label
361,"What movie is simlar to Blade Runner, Reservoir Dogs, Léon The Professional, Rear Window? Choose from the following: Pickup on South Street, One Flew Over the Cuckoo's Nest, Home, Trumbo",One Flew Over the Cuckoo's Nest
73,"What movie is simlar to Jurassic Park, Dances with Wolves, The Silence of the Lambs, Seven? Choose from the following: Love and Other Disasters, Tigerland, Braveheart, I Love You, Man",Braveheart
374,"What movie is simlar to Pulp Fiction, Forrest Gump, Terminator 2 Judgment Day, Braveheart? Choose from the following: Ruby & Quentin, Insidious Chapter 3, Fast Times at Ridgemont High, The Fugitive",The Fugitive
155,"What movie is simlar to Batman, Interview with the Vampire The Vampire Chronicles, The Mask, Pretty Woman? Choose from the following: Bright, Babe, Unicorn City, Zoom",Babe
104,"What movie is simlar to Independence Day, Star Wars Episode V - The Empire Strikes Back, American Beauty, Star Wars Episode VI - Return of the Jedi? Choose from the following: Frankenweenie, Ivan Vasilievich Back to the Future, We Bought a Zoo, Star Wars Episode IV - A New Hope",Star Wars Episode IV - A New Hope
394,"What movie is simlar to Dances with Wolves, Stargate, Pulp Fiction, The Shawshank Redemption? Choose from the following: The Towering Inferno, The Collector, Diabolique, The Fugitive",The Fugitive
377,"What movie is simlar to The Usual Suspects, Braveheart, The Shawshank Redemption, Crimson Tide? Choose from the following: My Bloody Valentine 3-D, Fur An Imaginary Portrait of Diane Arbus, The Fugitive, That's Entertainment",The Fugitive
124,"What movie is simlar to Back to the Future, Raiders of the Lost Ark, The Matrix, The Terminator? Choose from the following: What's Up, Tiger Lily, Cave of Forgotten Dreams, Batman, Quatermass and the Pit",Batman
68,"What movie is simlar to Schindler's List, Jurassic Park, The Silence of the Lambs, Forrest Gump? Choose from the following: Batman, Alien Resurrection, A Tale of Two Cities, The Quiet American",Batman
450,"What movie is simlar to Pulp Fiction, Braveheart, The Fugitive, Get Shorty? Choose from the following: I Do How to Get Married and Stay Single, Forrest Gump, The Crossing Guard, Jimmy Carr Making People Laugh",Forrest Gump
9,"What movie is simlar to Star Wars Episode V - The Empire Strikes Back, Star Wars Episode IV - A New Hope, The Silence of the Lambs, Austin Powers International Man of Mystery? Choose from the following: Mission Impossible, Sheena, South Park Imaginationland, The Pervert's Guide to Cinema",Mission Impossible
194,"What movie is simlar to Dances with Wolves, Braveheart, Schindler's List, Pulp Fiction? Choose from the following: The Son's Room, The Shawshank Redemption, Psycho, The Way South",The Shawshank Redemption
406,"What movie is simlar to Forrest Gump, The Shawshank Redemption, Pulp Fiction, Dances with Wolves? Choose from the following: Women in Trouble, The Fugitive, Night at the Museum Secret of the Tomb, While You Were Sleeping",The Fugitive
84,"What movie is simlar to LA Confidential, Star Wars Episode IV - A New Hope, Mission Impossible, Austin Powers International Man of Mystery? Choose from the following: Once Were Warriors, Dogfight, New Waterford Girl, Superman",Superman
371,"What movie is simlar to The Shawshank Redemption, Saving Private Ryan, Braveheart, The Matrix? Choose from the following: Dracula 2000, 1492 Conquest of Paradise, Schindler's List, Auto Focus",Schindler's List
388,"What movie is simlar to The Shawshank Redemption, Kill Bill Vol 2, Forrest Gump, Fight Club? Choose from the following: Emma, Tyrannosaur, Kill Bill Vol 1, How to Steal a Million",Kill Bill Vol 1
495,"What movie is simlar to The Shawshank Redemption, Pulp Fiction, The Fugitive, Stargate? Choose from the following: Guinevere, White Frog, Dances with Wolves, Benny & Joon",Dances with Wolves
30,"What movie is simlar to Dances with Wolves, Schindler's List, Batman, The Fugitive? Choose from the following: The Dinner Game, Metal A Headbanger's Journey, Pulp Fiction, FX2",Pulp Fiction
316,"What movie is simlar to The Matrix, The Shawshank Redemption, Pulp Fiction, Inception? Choose from the following: Zeus and Roxanne, Bella, Forrest Gump, The Devil Wears Prada",Forrest Gump
