,input,label
142,"Is the following sentence plausible? ""Ryan O'Reilly wristed a shot.""",yes
6,"Is the following sentence plausible? ""David Silva took a throw in.""",yes
97,"Is the following sentence plausible? ""Carlos Tevez skated backwards.""",no
60,"Is the following sentence plausible? ""Wayne Rooney threw a touchdown in the Superbowl.""",no
112,"Is the following sentence plausible? ""Keenan Allen drew a flag on the play in the NFC championship.""",yes
181,"Is the following sentence plausible? ""Anthony Rizzo skated backwards in the Stanley Cup.""",no
197,"Is the following sentence plausible? ""Ryan Nugent-Hopkins killed the powerplay.""",yes
184,"Is the following sentence plausible? ""Stefon Diggs hit the slant pass.""",yes
9,"Is the following sentence plausible? ""Robin Lehner launched the desperation heave.""",no
104,"Is the following sentence plausible? ""Amari Cooper scored a penalty kick.""",no
200,"Is the following sentence plausible? ""Dani Alves took the snap.""",no
216,"Is the following sentence plausible? ""Robert Woods killed the powerplay.""",no
236,"Is the following sentence plausible? ""Stephen Curry scored a reverse layup.""",yes
240,"Is the following sentence plausible? ""Kenta Maeda caught the screen pass.""",no
67,"Is the following sentence plausible? ""Jordan Binnington scored in the third period.""",yes
224,"Is the following sentence plausible? ""Toni Kroos took a throw in in the Champions Leage Semifinal.""",yes
194,"Is the following sentence plausible? ""Collin Sexton hit the buzzer beater.""",yes
15,"Is the following sentence plausible? ""Frederik Andersen crossed the blue line in the Stanley Cup.""",yes
177,"Is the following sentence plausible? ""Frederik Andersen converted the first down.""",no
24,"Is the following sentence plausible? ""Kailer Yamamoto performed a slide tackle in the European Cup.""",no
247,"Is the following sentence plausible? ""Kenta Maeda threw to first base in the American League Championship Series.""",yes
19,"Is the following sentence plausible? ""Giorgio Chiellini committed a handball in the FA Cup.""",yes
114,"Is the following sentence plausible? ""Toni Kroos performed a give and go.""",yes
68,"Is the following sentence plausible? ""Malcolm Brogdon drove into the restricted area in the Eastern Conference Finals.""",yes
176,"Is the following sentence plausible? ""Fred VanVleet passed the puck.""",no
45,"Is the following sentence plausible? ""Edinson Cavani caught the screen pass.""",no
55,"Is the following sentence plausible? ""Gleyber Torres got a base hit.""",yes
10,"Is the following sentence plausible? ""Carson Wentz took to the ice.""",no
30,"Is the following sentence plausible? ""Delon Wright went for it on fourth down.""",no
120,"Is the following sentence plausible? ""Patrick Kane backhanded a shot in the Stanley Cup.""",yes
201,"Is the following sentence plausible? ""Russell Westbrook scored on the power play.""",no
33,"Is the following sentence plausible? ""Jakub Vrana hit a walkoff homer.""",no
141,"Is the following sentence plausible? ""Pierre-Luc Dubois skated backwards.""",yes
219,"Is the following sentence plausible? ""Wayne Rooney watched the pitch go by.""",no
25,"Is the following sentence plausible? ""Corbin Burnes earned an indirect kick.""",no
111,"Is the following sentence plausible? ""Jesus Luzardo was called for slashing.""",no
18,"Is the following sentence plausible? ""Tom Brady converted the first down.""",yes
196,"Is the following sentence plausible? ""Nick Foles lost control of the puck.""",no
180,"Is the following sentence plausible? ""Pete Alonso hit a triple in the World Series.""",yes
159,"Is the following sentence plausible? ""David Pastrnak skated backwards.""",yes
118,"Is the following sentence plausible? ""De'Aaron Fox scored a bicycle kick.""",no
96,"Is the following sentence plausible? ""Walker Buehler earned a trip to the penalty box.""",no
108,"Is the following sentence plausible? ""Cooper Kupp scored in the third period in the Stanley Cup.""",no
185,"Is the following sentence plausible? ""Diego Forlan did a maradona on the defender.""",yes
222,"Is the following sentence plausible? ""Mookie Betts scored on the power play.""",no
16,"Is the following sentence plausible? ""Freddie Freeman watched the pitch go by.""",yes
146,"Is the following sentence plausible? ""Gleyber Torres scored a bicycle kick.""",no
69,"Is the following sentence plausible? ""Didier Drogba got into the endzone.""",no
173,"Is the following sentence plausible? ""Nathan MacKinnon bricked the three pointer in the Eastern Conference Finals.""",no
38,"Is the following sentence plausible? ""T.Y. Hilton threw a touchdown in the AFC divisional round.""",yes
132,"Is the following sentence plausible? ""Nick Castellanos hit the wheel route.""",no
225,"Is the following sentence plausible? ""Mike Williams fumbled the ball in the Superbowl.""",yes
238,"Is the following sentence plausible? ""Ryan Fitzpatrick scored a touchdown.""",yes
119,"Is the following sentence plausible? ""James Harden shot from outside the eighteen.""",no
136,"Is the following sentence plausible? ""Leon Draisaitl grounded out to second base in the National League Championship Series.""",no
66,"Is the following sentence plausible? ""Juan Soto shot from beyond the arc.""",no
217,"Is the following sentence plausible? ""Jonathan Marchessault went five hole.""",yes
154,"Is the following sentence plausible? ""Brandon Woodruff set the hard screen in the Eastern Conference Finals.""",no
168,"Is the following sentence plausible? ""Juan Soto took ball four.""",yes
229,"Is the following sentence plausible? ""Jamison Crowder drew a flag on the play.""",yes
233,"Is the following sentence plausible? ""Thomas Muller hit a triple.""",no
156,"Is the following sentence plausible? ""Nerlens Noel was out at home.""",no
117,"Is the following sentence plausible? ""Domantas Sabonis gained five yards in the AFC championship.""",no
84,"Is the following sentence plausible? ""Luis Robert was out at second.""",yes
125,"Is the following sentence plausible? ""John Carlson entered the attacking zone in the Stanley Cup.""",yes
167,"Is the following sentence plausible? ""Tyler Glasnow watched the pitch go by.""",yes
245,"Is the following sentence plausible? ""Nicklas Backstrom earned a trip to the penalty box.""",yes
109,"Is the following sentence plausible? ""Sean Couturier passed the puck in the Stanley Cup.""",yes
172,"Is the following sentence plausible? ""Trae Young got into the endzone.""",no
234,"Is the following sentence plausible? ""James Karinchak worked a full count.""",yes
73,"Is the following sentence plausible? ""Evander Kane hit the slant pass in the AFC divisional round.""",no
158,"Is the following sentence plausible? ""Klaas Jan Huntelaar shot the puck.""",no
115,"Is the following sentence plausible? ""Mitchell Trubisky caught the screen pass.""",yes
75,"Is the following sentence plausible? ""Gerrit Cole committed a handball in the European Cup.""",no
237,"Is the following sentence plausible? ""Mikal Bridges scored a windmill dunk.""",yes
82,"Is the following sentence plausible? ""Drew Brees was flagged on the play.""",yes
29,"Is the following sentence plausible? ""Nazem Kadri took a charge in the NBA Championship.""",no
126,"Is the following sentence plausible? ""Patrice Bergeron converted the first down.""",no
79,"Is the following sentence plausible? ""Sterling Shepard converted the first down.""",yes
86,"Is the following sentence plausible? ""T.Y. Hilton drew a flag on the play.""",yes
5,"Is the following sentence plausible? ""John Tavares earned a trip to the penalty box in the Stanley Cup.""",yes
56,"Is the following sentence plausible? ""Kawhi Leonard took a turnaround jumper.""",yes
186,"Is the following sentence plausible? ""George Springer committed a blocking foul.""",no
231,"Is the following sentence plausible? ""Petr Cech was safe at first.""",no
170,"Is the following sentence plausible? ""Caris LeVert scored a reverse layup.""",yes
65,"Is the following sentence plausible? ""Tuukka Rask killed the powerplay.""",yes
140,"Is the following sentence plausible? ""Travis Konecny did a maradona on the defender.""",no
124,"Is the following sentence plausible? ""Steven Stamkos hit the slant pass.""",no
213,"Is the following sentence plausible? ""Brandon Lowe took a left footed shot.""",no
148,"Is the following sentence plausible? ""DeVante Parker was called for icing.""",no
31,"Is the following sentence plausible? ""Malcolm Brogdon banked the shot in.""",yes
12,"Is the following sentence plausible? ""Jack Flaherty walked to first base in the National League Championship Series.""",yes
35,"Is the following sentence plausible? ""Aleksander Barkov passed the puck.""",yes
28,"Is the following sentence plausible? ""Zach LaVine  shot the puck.""",no
42,"Is the following sentence plausible? ""Jonathan Marchessault scored on the power play in the Stanley Cup.""",yes
218,"Is the following sentence plausible? ""Tristan Jarry dunked the ball.""",no
22,"Is the following sentence plausible? ""Adam Thielen got on base.""",no
93,"Is the following sentence plausible? ""Sean Couturier maradona'd the defender.""",no
212,"Is the following sentence plausible? ""Dylan Larkin walked on ball four.""",no
101,"Is the following sentence plausible? ""Aleksander Barkov bricked the three pointer.""",no
