,input,output
1550,dressed,polished
1790,sixth,6th
1730,lap,circle
1098,deficient,inferior
1714,psychoanalysis,analysis
41,proportion,balance
393,achieve,reach
1220,lecture,talk
735,sunlight,sun
1361,violent,wild
1315,solved,resolved
1412,recurrence,return
1901,housing,lodging
999,celebrated,noted
1206,campaign,cause
1246,utmost,maximum
1618,brow,forehead
2015,thirty,30
27,honorable,honourable
1128,minimal,minimum
1671,burden,weight
1887,circle,round
420,try,attempt
1086,service,serve
1518,abrupt,sharp
997,gold,golden
1511,abuse,shout
679,hope,desire
1530,learning,acquisition
1501,active,fighting
1418,abandoned,derelict
1851,joining,connection
1021,realization,recognition
787,miss,lack
1862,captive,confined
987,meter,time
1499,back,support
384,naturally,course
1017,eighteenth,18th
1403,precipitate,fall
740,trial,test
1108,prefer,favor
521,recess,corner
2198,adverse,contrary
1729,insert,enter
322,submission,entry
1921,advancing,forward
589,foreman,chief
2002,scenery,scene
507,minute,narrow
2000,improvement,advance
1391,width,breadth
625,era,epoch
223,secret,private
370,peel,skin
1549,sensed,perceived
379,auspices,protection
1610,probably,likely
1408,quietly,quiet
903,reverse,opposite
451,readiness,preparation
302,hole,hollow
1821,lay,repose
1263,record,book
947,dialogue,dialog
53,climb,mount
1994,vicinity,neighborhood
1152,quickly,rapidly
1205,resolution,declaration
1493,excessively,too
983,inactive,still
957,reckon,count
1847,cold,dusty
1525,resolve,solve
1770,frightened,scared
2024,trip,trigger
2118,indicate,point
1219,salvage,save
1757,band,ring
1303,parcel,share
1062,sharpen,point
1698,limit,bound
1628,interval,separation
948,seriously,earnestly
2035,civilized,cultivated
506,company,society
811,extract,pull
830,midst,thick
1795,ocular,visual
1601,spread,spreading
1805,inheritance,heritage
395,accustomed,customary
1187,ten,10
1370,index,indicator
1210,kingdom,land
1672,mate,fellow
1848,actor,worker
1565,treat,handle
245,extra,special
1106,compact,thick
