,input,output
0,"he believes in what he plays , and he plays superbly .",he believes
1,"it felt more like a party , or a highly polished jam session with a few friends , than a classical concert .",it felt
2,"it was not an unpleasant evening , certainly , thanks to the high level of performance , the compositional talents of mr. douglas , and the obvious sincerity with which mr. stoltzman chooses his selections .",it was
3,but it was neither deep nor lasting : light entertainment that was no substitute for an evening of brahms .,it was
4,"this is the u.n. group that managed to traduce its own charter of promoting education , science and culture .",this is
5,but we can think of many reasons to stay out for the foreseeable future and well beyond .,we think
6,we see an even stronger argument against unesco than its unsurprising failure to reform .,we see
7,this is that the reagan revolution spanning eastern europe and tiananmen square shows the power of ideas unencumbered by international civil servants or government functionaries .,this is
8,"we can see plenty of reasons to stay out , and none to rejoin unesco .",we see
9,"they attached a second gene , for herbicide resistance , to the pollen-inhibiting gene .",they attached
10,"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he said
11,"today is the debut of the senior professional baseball association , a new eight-team pro sports circuit , modeled after the highly successful senior tennis and golf tours and complete with good salaries , a cable television contract and even expansion plans .",today is
12,"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he dons
13,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
14,some have been training for months ; others only recently left active status .,others left
15,he no longer crowds the plate .,he crowds
16,"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball .",he admits
17,he will compensate with the guile learned from his years in the majors .,he compensate
18,he has good control .,he has
19,"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel holds
20,reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves traded
21,it also reported a 2.6 % decline in its raw-materials price index for september .,it reported
22,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats quoted
23,gm has been negotiating a friendly transaction with jaguar that likely would involve joint ventures and an eventual stake of just under 30 % .,gm negotiating
24,"analysts expect ford will make the first move , perhaps today , with an initial offer of about 900 pence ( $ 14.25 ) a share .",analysts expect
25,"in a prepared statement , gm suggested its plans for jaguar would be more valuable in the long run than the initial windfalls investors might reap from a hostile ford bid .",gm suggested
26,"dow will own 60 % of the venture , with eli lilly holding the rest .",dow own
27,"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts fighting
28,"but trading was very sketchy , as investment decision makers remain wary from gyrations and upsets of recent weeks .",trading was
29,"despite the modest gains , traders said the market remains dull , with investors remaining cautiously on the sidelines .",traders said
30,prices were mixed in zurich and lower in stockholm .,prices were
31,"stocks closed higher in hong kong , manila , singapore , sydney and wellington , but were lower in seoul .",stocks closed
32,taipei was closed for a holiday .,taipei closed
33,he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .,he said
34,"metromedia said its unit is the fifth-largest provider of long-distance communications service in the u.s. , with projected 1989 revenue of more than $ 550 million .",metromedia said
35,"the average six-month yield on a jumbo cd was at 7.90 % , down from 7.93 % , banxquote said .",banxquote said
36,"for longer-term cds , yields were up .",yields were
37,"feeling the naggings of a culture imperative , i promptly signed up .",i signed
38,we were coming down straight into their canal .,we coming
39,i looked at my watch .,i looked
40,a whole morning of ballooning and i had been off the ground barely 30 minutes .,i been
41,"at the same time , they contend that a reduction of nato forces under a treaty will increase the possibility of a conventional soviet attack unless the west retains a residual force of nuclear weapons in europe .",they contend
42,tanks currently are defined as armored vehicles weighing 25 tons or more that carry large guns .,tanks defined
43,coke has tended to increase its control when results were sluggish in a given country .,coke tended
44,"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi has
45,"it raised financing of 300 billion lire for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by selling a chunk of its ifi shares to mediobanca s.p . a.",it raised
46,"and it treats such activities in a frivolous , cavalier fashion , with total indifference to common sense and public safety .",it treats
47,"democrats argued that the training wage was a way of allowing employers to pay less than the minimum wage , while new workers need far less than six months to be trained for their jobs .",democrats argued
48,republicans have been imploring the white house to compromise on the wage issue .,republicans imploring
49,"analysts expect armstrong to use proceeds of the sale to reduce debt , buy back stock or perhaps finance an acquisition .",analysts expect
50,"analysts hailed the planned transaction as being beneficial to armstrong and shaw , the market leader in the u.s. carpet industry , with an estimated 17 % to 20 % share .",analysts hailed
51,"yesterday , armstrong reported flat earnings for the third quarter and nine months , worsened by the stock dilution of an employee stock ownership plan adopted earlier this year .",armstrong reported
52,"for the quarter , earnings were $ 47 million , or 92 cents a share , including a one-time gain of $ 5.9 million .",earnings were
53,"in the year-ago quarter , earnings were $ 42.9 million , or 93 cents a share .",earnings were
54,"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong announced
55,"armstrong expects to close the sale of the color unit in late november and the carpet sale in december , with the gains to be applied to fourth quarter or first-quarter results .",armstrong expects
56,"these include new orders for manufactured consumer goods , lead times on vendor deliveries , orders for new plant and equipment , and backlogs of orders for durable goods .",these include
57,"after various adjustments , they produced a 0.5 % rise in the index for august and a 0.2 % rise for september .",they produced
58,"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding .",he is
59,they promised yet more for really good stuff .,they promised
60,some nights he slept under his desk .,he slept
61,tymnet is a major network linking computers .,tymnet is
62,he savored the humor of his uncombed appearance among these buttoned-up chaps .,he savored
63,he became angry in return .,he became
64,mips also wants to wedge into markets other than traditional risc applications such as engineering ; mips said the new machine will also be used by businesses and for communications .,mips wants
65,and that puts added pressure on chez panisse dessert-menu planners .,that puts
66,sales rose to $ 52.4 million from $ 50.1 million .,sales rose
67,i was pleased to note that your oct. 23 centennial journal item recognized the money-fund concept as one of the significant events of the past century .,i was
68,"we innovated telephone redemptions , daily dividends , total elimination of share certificates and the constant $ 1 pershare pricing , all of which were painfully thought out and not the result of some inadvertence on the part of the sec .",we innovated
69,"as the judge marched down the center aisle in his flowing black robe , he was heralded by a trumpet fanfare .",he heralded
70,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it was
71,"while his case may be extreme , it reflects the vulnerability of many small communities to domineering judges .",it reflects
72,"bailiffs claimed they were required to chauffeur him to and from work , mow his lawn , chop his wood , fix his car and even drop by his house to feed his two grown mutts , dixie and husky .",bailiffs claimed
73,he has been considered several times for appointments to federal district and appellate court vacancies in pennsylvania .,he considered
74,"he sipped tea sweetened with honey from his high-backed leather chair at his bench , while scribbling notes ordering spectators to stop whispering or to take off their hats in his courtroom .",he sipped
75,"berthold is based in wildbad , west germany , and also has operations in belgium .",berthold based
76,"mason is the largest toxicology lab in new england , with annual revenue of $ 8 million and 140 employees .",mason is
77,"mason serves commercial and government customers , including the national institutes of health .",mason serves
78,"although the action removes one obstacle in the way of an overall settlement to the case , it also means that mr. hunt could be stripped of virtually all of his assets if the tax court rules against him in a 1982 case heard earlier this year in washington , d.c .",it means
79,japan has found another safe outlet for its money : u.s. home mortgages .,japan found
80,that may not come as a surprise to americans who have watched the japanese snap up properties in the u.s. from golf courses to a stake in rockefeller center .,that come
81,"at the moment , nomura is the only japanese institution authorized to act as a primary seller of fannie mae instruments .",nomura is
82,"first , they are safe .",they are
83,"second , they are liquid .",they are
84,"he said his suit against enfield seeks two years severance pay , equivalent to c$ 720,000 .",he said
85,enfield is a holding company with interests in manufacturing concerns .,enfield is
86,hees is a merchant bank controlled by toronto financiers peter and edward bronfman .,hees is
87,"first of all , it is a friendly acquisition in which rockefeller sought out mitsubishi estate and asked it to buy a majority share .",rockefeller sought
88,"rockefeller may well have found its match in mitsubishi estate , a company of long history , strong government ties and sound resources .",rockefeller found
89,"at the time , japan had just opened its doors to the world after about 250 years of isolation and needed a western-style business center .",japan opened
90,analysts say the company also could easily issue new convertible bonds or warrants .,analysts say
91,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
92,"mitsubishi is also pushing ahead with a controversial plan to redevelop marunouchi into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
93,sony is acquiring columbia and guber-peters entertainment co. in two separate transactions valued at more than $ 5 billion .,sony acquiring
94,warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .,warner has
95,"but it may amount to little more than posturing ; the two have continued on-again , off-again settlement talks over the last few weeks , and people familiar with the talks say the matter could be resolved within a week .",it amount
96,seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .,seagram says
97,goya concocts a milk for hispanic tastes,goya concocts
98,that compares with 3.5 % butterfat for whole milk .,that compares
99,"borden even tested a milk with 4 % butterfat in the south , but decided the market was too small .",borden tested
100,goya is selling leche fresca in nearly 500 grocery stores and bodegas in new york and parts of new jersey .,goya selling
101,trifari now trains sales help to advise customers on the best earring styles .,trifari trains
102,he reset opening arguments for today .,he reset
103,she now lives with relatives in alabama .,she lives
104,but that was not to be .,that was
105,"for a while in the 1970s it seemed mr. moon was on a spending spree , with such purchases as the former new yorker hotel and its adjacent manhattan center ; a fishing/processing conglomerate with branches in alaska , massachusetts , virginia and louisiana ; a former christian brothers monastery and the seagram family mansion ( both picturesquely situated on the hudson river ) ; shares in banks from washington to uruguay ; a motion picture production company , and newspapers , such as the washington times , the new york city tribune ( originally the news world ) , and the successful spanish-language noticias del mundo .",it seemed
106,i attended several of these in the dual role as a presenter of research findings as well as an investigator of my hosts .,i attended
107,( europe had proved even less hospitable than north america .,europe proved
108,it said the situation is caused by efforts to streamline bloated factory payrolls .,it said
109,israel has been accused in the past of using subterfuge to seek elements needed to develop nuclear weapons .,israel accused
110,poland is the second communist nation to recognize the seoul government ; south korea established diplomatic relations with hungary in february 1989 .,poland is
111,"venezuela will hold a debt-equity auction friday , with 32 potential bidders participating .",venezuela hold
112,"earlier this year , venezuela announced it was opening up debt-equity swaps to foreign investors but said the program would be limited to a net disbursement of $ 600 million a year .",venezuela announced
113,"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , fled the philippines for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they allegedly embezzled more than $ 100 million from their homeland .",they charged
114,"as a result , he said he will examine the marcos documents sought by the prosecutors to determine whether turning over the filings is self-incrimination .",he said
115,ashurst is new to the far east .,ashurst is
116,sidley will maintain its association with the hashidate law office in tokyo .,sidley maintain
117,employees wore identification badges listing not only their names but also their dates of hire .,employees wore
118,"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans .",nissan instituted
119,"and in a japanese corporate first , nissan recently opened the first coed company dormitory for single employees at the suburban tokyo technical center .",nissan opened
120,"at that time , tasks were assigned strictly on the basis of seniority .",tasks assigned
121,"desperately hoping to spark sales , nissan transferred 5,000 middle managers and plant workers to dealerships .",nissan transferred
122,"since then , nissan also has launched new versions of the $ 13,249 240sx sporty coupe and 300zx sports car .",nissan launched
123,"in its home market , nissan has grabbed attention with limited-production minicars featuring styling odd enough to be cute .",nissan grabbed
124,nissan helped develop a tokyo restaurant with both vehicles as its design theme .,nissan helped
125,nissan had 29 % of the japanese car market in 1980 before beginning a depressing eight-year slide that continued through last year .,nissan had
126,"in compact and subcompact cars , the bread-and-butter sales generators for japanese auto makers , nissan still trails toyota and honda .",nissan trails
127,"nissan hopes that that will start to change this fall , with its new version of the stanza compact sedan .",nissan hopes
128,"but this year , honda has revamped the accord and made it a midsized car .",honda revamped
129,nissan will introduce a completely revamped sentra next fall .,nissan introduce
130,nissan started advertising infiniti fully eight months before the cars hit american showrooms .,nissan started
131,"nissan will build only about 3,500 of the $ 38,000 infiniti q45 sedans each month , sending about 2,000 of them to the u.s. and keeping the rest for sale in japan .",nissan build
132,"toyota wants to sell about 49,000 lexus ls400 sedans next year in the u.s. alone .",toyota wants
133,"but on reflection , mr. oka says , he concluded that nissan is being prudent in following its slow-startup strategy instead of simply copying lexus .",he concluded
134,"but nissan expects to earn only 120 billion yen in the current fiscal year , a modest increase of 4.7 % .",nissan expects
135,"the big reason : for all its cost-cutting , nissan remains less efficient than toyota .",nissan remains
136,"to help close the gap , nissan recently established a top-level cost-cutting committee .",nissan established
137,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner is
138,"he recently told a small group of american businessmen in moscow that he hoped to sign a general trade agreement with the u.s. , possibly at the 1990 summit .",he told
139,"they are useful to call public attention to grievances , but they have little value in educating anyone about the issues in dispute .",they are
140,"where non-violent civil disobedience is the centerpiece , rather than a lawful demonstration that may only attract crime , it is difficult to justify .",it is
141,they say these are small prices to pay for galvanizing action for the all-important cause .,they say
142,he dies .,he dies
143,it is amazing that the ensuing mass executions in vietnam and cambodia do not weight more heavily on minds so morally fine-tuned .,it is
144,"if you have not , it is probable that a thorough airing of the dispute by calm and rational debate would have been the better course .",it is
145,sales rose 6.2 % to $ 1.45 billion from $ 1.37 billion .,sales rose
146,"after a flat second quarter tied largely to lower newsprint earnings , kimberly-clark attributed the gain to improved results in its consumer businesses in north america , brazil and korea .",kimberly-clark attributed
147,"in the first nine months , profit rose 10 % to $ 313.2 million , or $ 3.89 a share , from $ 283.9 million , or $ 3.53 a share .",profit rose
148,sales rose 6.7 % to $ 4.27 billion from $ 4 billion .,sales rose
149,but they also are to see that taxpayers get all allowable tax benefits and to ask if filers who sought irs aid were satisfied with it .,they are
150,but they were stripped from the senate bill after staffers estimated penalty revenue would fall by $ 216 million over five years .,they stripped
151,states are following suit .,states following
152,california enacted a rights law in 1988 .,california enacted
153,hugo felled vast timberlands .,hugo felled
154,"that may leave a lot of leeway for u.s. bankruptcy judge burton r. lifland to decide what , if anything , the pilots actually collect .",that leave
155,"in august , he issued the ruling that let the pilots pursue their back-pay grievance before the arbitrator .",he issued
156,"in a statement to employees , eastern said the company was disappointed by the ruling .",eastern said
157,"he joins nov. 13 , dissolving his consulting firm , canter , achenbaum associates .",he joins
158,"as a consultant , he has given seminars at agencies including ogilvy & mather on how to win new business .",he given
159,he pampers them ; he invites them to fabulous parties ; he strokes them .,he pampers
160,"he spent most of his career formulating marketing strategies , but became best-known for chipping away at ad agency compensation .",he spent
161,"he will concentrate on , among others , j.p. morgan and hyundai .",he concentrate
162,clients include miller brewing co. and general motors .,clients include
163,revenue increased 20 % to $ 246.6 million from $ 204.8 million .,revenue increased
164,excerpts follow :,excerpts follow
165,they are already industrialized ... .,they are
166,i think the earlier strident notes struck by -lcb- u.s. commerce secretary robert -rcb- mosbacher and -lcb- u.s. trade representative -rcb- carla hills have been more rounded .,i think
167,"we are willing to share the political burden of being host to america , an imperial power .",we are
168,they lorded it over me .,they lorded
169,i mean it is a normal adult relationship .,i mean
170,"using small electrical shocks applied to her feet , they were able to monitor sensory nerves .",they were
171,researchers can apply for permission to use the probes for brain studies .,researchers apply
172,scientists also are exploring memory and perception with the new machines .,scientists exploring
173,"at the state university of new york at brooklyn , researchers flash two groups of different letters on a computer screen in front of human guinea pigs .",researchers flash
174,"hewlett-packard is a palo alto , calif. , computer maker .",hewlett-packard is
175,"they pay interest only for 115 months , with principal payments beginning thereafter .",they pay
176,"here in this new center for japanese assembly plants just across the border from san diego , turnover is dizzying , infrastructure shoddy , bureaucracy intense .",turnover is
177,"japan ranks as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
178,that is just 1 % of all the money japan has invested abroad .,that is
179,he already has finagled a $ 2 billion loan from the japanese government .,he finagled
180,but mexico urgently needs more help .,mexico needs
181,"pressed on the matter , he is more specific .",he is
182,"mexico is sending a number of missions to japan looking for a major breakthrough investment in telecommunications , petrochemicals or tourism .",mexico sending
183,it is hoped that other japanese would then follow the leader .,it hoped
184,"he could develop the beach through a trust , but instead is trying have his grandson become a naturalized mexican so his family gains direct control .",he develop
185,opinion is mixed over its three-month prospects .,opinion is
186,"and a week later , japan raised its official discount rate by a half point to 3.75 % .",japan raised
187,"g-7 consists of the u.s. , japan , britain , west germany , canada , france and italy .",g-7 consists
188,he predicted the u.s. unit will skid below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year .,he predicted
189,"in early trading in hong kong wednesday , gold was quoted at $ 373.80 an ounce .",gold quoted
190,he said the government will also repeal the 1 % transaction tax on the first-time purchase of stakes in companies .,he said
191,"the only permanent losers will be the 200,000 or so workers everyone agrees will be priced out of a job at the $ 4.25 rate congress is likely to approve today .",everyone agrees
192,"chemical said steven edelson resigned recently , but one individual close to the situation said the resignation was forced .",chemical said
193,"with such a lopsided book of options , traders say , chemical was more vulnerable to erroneous valuation assumptions .",traders say
194,he joined the firm in 1963 and bought it from the owners the next year .,he joined
195,"hogs rose $ 3.40 to $ 46.80 a hundredweight in october , while beef cattle slipped 80 cents to $ 67.40 for each hundred pounds and calves dropped 90 cents to $ 90.20 .",hogs rose
196,"paramount said associates has about $ 14 billion in total assets , making it third-largest in terms of assets among independent finance companies in the u.s. .",paramount said
197,it appears that the only thing congress is learning from the hud story is how to enlarge its control of the honey pot going to special interests .,it appears
198,this is no idle fear last year the fha lost $ 4.2 billion in loan defaults .,this is
199,experience has shown that the most important element in predicting a housing-loan default is the down payment .,experience shown
200,we hear that hud secretary jack kemp is toying with going along with some of the cranston-mitchell proposals .,we hear
201,that sounds like a formula for ensuring that he gets dragged into the next hud tar pit .,that sounds
202,"of course , self-reform is about the last thing this congress is interested in .",self-reform is
203,"like the s&l mess before it , this is a problem congress should be solving , not ignoring .",this is
204,terms were not disclosed .,terms disclosed
205,officials proposed a cut in the defense budget this year to 70.9 billion rubles ( us$ 114.3 billion ) from 77.3 billion rubles ( us$ 125 billion ) as well as large cuts in outlays for new factories and equipment .,officials proposed
206,tass said the final budget and economic plan calls for a sharp increase in the production of consumer goods .,tass said
207,revenue gained 13 % to $ 77.3 million from $ 68.5 million .,revenue gained
208,it has long been rumored that ocean drilling would sell the unit to concentrate on its core oil and gas business .,it rumored
209,it will feature a cost-containment provision designed to keep expanded benefits from fueling higher care prices .,it feature
210,"labor is upset because many companies are using higher employee insurance premiums , deductibles and co-payments to deflect surging medical costs to workers .",labor is
211,he asserts that government has done an even worse job of controlling its health bill than business .,he asserts
212,"congress still is struggling to dismantle the unpopular catastrophic care act of 1988 , which boosted benefits for the elderly and taxed them to pay for the new coverage .",congress struggling
213,it is expected to report next summer .,it expected
214,advocates hope that such standards will improve treatment while limiting unnecessary tests and medical procedures .,advocates hope
215,he said the new facility will employ 500 of the existing 600 employees .,he said
216,"stelco said it has an option to lease a 350,000-square-foot building in brantford and proposes to spend 24.5 million canadian dollars ( us$ 20.9 million ) on the facility .",stelco said
217,"terms call for first security to issue about 0.55 share of its stock for each deseret share held , or a total of about 550,000 first security shares .",terms call
218,it has about 12.3 million shares outstanding .,it has
219,"georgia-pacific closed down $ 2.50 , at $ 50.875 in big board trading .",georgia-pacific closed
