,input,label
142,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a black book, a purple book, a yellow book, an orange book, and a red book. The yellow book is the rightmost. The black book is to the left of the orange book. The orange book is to the left of the purple book. The black book is the second from the left.
Options:
(A) The black book is the second from the left
(B) The purple book is the second from the left
(C) The yellow book is the second from the left
(D) The orange book is the second from the left
(E) The red book is the second from the left",(A)
6,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are five vehicles: a convertible, a bus, a minivan, a truck, and a sedan. The convertible is newer than the truck. The minivan is the newest. The bus is the third-newest. The truck is newer than the sedan.
Options:
(A) The convertible is the newest
(B) The bus is the newest
(C) The minivan is the newest
(D) The truck is the newest
(E) The sedan is the newest",(C)
97,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells five fruits: oranges, cantaloupes, peaches, loquats, and kiwis. The peaches are more expensive than the oranges. The cantaloupes are more expensive than the peaches. The kiwis are the third-most expensive. The loquats are the second-cheapest.
Options:
(A) The oranges are the cheapest
(B) The cantaloupes are the cheapest
(C) The peaches are the cheapest
(D) The loquats are the cheapest
(E) The kiwis are the cheapest",(A)
60,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are five birds: a cardinal, a robin, a blue jay, a quail, and a raven. The robin is to the right of the raven. The cardinal is the leftmost. The raven is to the right of the blue jay. The blue jay is the third from the left.
Options:
(A) The cardinal is the leftmost
(B) The robin is the leftmost
(C) The blue jay is the leftmost
(D) The quail is the leftmost
(E) The raven is the leftmost",(A)
112,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a black book, a purple book, a yellow book, an orange book, and a red book. The yellow book is the rightmost. The black book is to the left of the orange book. The orange book is to the left of the purple book. The black book is the second from the left.
Options:
(A) The black book is the rightmost
(B) The purple book is the rightmost
(C) The yellow book is the rightmost
(D) The orange book is the rightmost
(E) The red book is the rightmost",(C)
181,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a branch, there are five birds: an owl, a crow, a raven, a robin, and a cardinal. The raven is to the right of the owl. The raven is the second from the left. The robin is to the left of the crow. The robin is the second from the right.
Options:
(A) The owl is the second from the right
(B) The crow is the second from the right
(C) The raven is the second from the right
(D) The robin is the second from the right
(E) The cardinal is the second from the right",(D)
197,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a white book, an orange book, a yellow book, a blue book, and a red book. The yellow book is to the left of the white book. The red book is to the right of the blue book. The yellow book is to the right of the orange book. The blue book is to the right of the white book.
Options:
(A) The white book is the leftmost
(B) The orange book is the leftmost
(C) The yellow book is the leftmost
(D) The blue book is the leftmost
(E) The red book is the leftmost",(B)
184,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. A fruit stand sells five fruits: watermelons, apples, kiwis, cantaloupes, and mangoes. The cantaloupes are the second-cheapest. The mangoes are more expensive than the watermelons. The kiwis are less expensive than the apples. The kiwis are more expensive than the mangoes.
Options:
(A) The watermelons are the most expensive
(B) The apples are the most expensive
(C) The kiwis are the most expensive
(D) The cantaloupes are the most expensive
(E) The mangoes are the most expensive",(B)
9,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. In an antique car show, there are five vehicles: a convertible, a sedan, a tractor, a minivan, and a limousine. The tractor is newer than the minivan. The tractor is older than the limousine. The convertible is older than the sedan. The convertible is the second-newest.
Options:
(A) The convertible is the second-oldest
(B) The sedan is the second-oldest
(C) The tractor is the second-oldest
(D) The minivan is the second-oldest
(E) The limousine is the second-oldest",(C)
104,"The following paragraphs each describe a set of five objects arranged in a fixed order. The statements are logically consistent within each paragraph. On a shelf, there are five books: a blue book, a red book, a purple book, a gray book, and a white book. The white book is to the right of the gray book. The blue book is the leftmost. The red book is to the left of the gray book. The red book is the third from the left.
Options:
(A) The blue book is the leftmost
(B) The red book is the leftmost
(C) The purple book is the leftmost
(D) The gray book is the leftmost
(E) The white book is the leftmost",(A)
