,input,output
0,"1. g3 Ng6 2. b3 Kf8 *
",illegal
1,"1. h4 b6 2. Nh2 Ne6 *
",illegal
2,"1. d4 h5 2. f4 Nh7 *
",illegal
3,"1. d4 Nd6 2. b3 Qc8 *
",illegal
4,"1. d4 Ne6 2. b3 Nxd4 *
",illegal
5,"1. Nb3 c5 2. c3 Be5 *
",illegal
6,"1. Nb3 Nb6 2. Nd4 Na4 *
",illegal
7,"1. e4 e6 2. d4 Nd6 *
",illegal
8,"1. g4 Ng6 2. Nb3 f6 *
",illegal
9,"1. e4 Nd6 2. Qf3 Nc8 *
",illegal
10,"1. Ne3 Nd6 2. c4 a5 *
",illegal
11,"1. h3 d5 2. Ng3 Kd7 *
",illegal
12,"1. h3 d6 2. Nd3 Kd7 *
",illegal
13,"1. e4 Ng6 2. Ng3 a5 *
",illegal
14,"1. e4 d6 2. Ne2 e6 *
",illegal
15,"1. e4 c5 2. f3 Bxh2 *
",illegal
16,"1. e4 Nb6 2. Qe2 Nc4 *
",illegal
17,"1. a3 c5 2. Nd3 Bc7 *
",illegal
18,"1. h3 e6 2. Nh2 Nd6 *
",illegal
19,"1. g4 Nd6 2. Ng3 Nc8 *
",illegal
20,"1. c4 Ne6 2. b4 Nf8 *
",illegal
21,"1. Nb3 Ne6 2. a4 Nb6 *
",illegal
22,"1. c4 b6 2. e4 Ne6 *
",illegal
23,"1. e4 Nd6 2. b3 Nc8 *
",illegal
24,"1. e4 a5 2. Ng3 d6 *
",illegal
25,"1. f3 Ng6 2. a4 Nf4 *
",illegal
26,"1. d4 a5 2. h4 Ba7 *
",illegal
27,"1. Ng3 Nd6 2. Ne4 Nc4 *
",illegal
28,"1. d3 e5 2. Nb3 a6 *
",illegal
29,"1. e4 Nb6 2. Ke2 Na4 *
",illegal
30,"1. e4 Nb6 2. d4 d5 *
",illegal
31,"1. e4 Ng6 2. Ne3 Nd6 *
",illegal
32,"1. g3 Nd6 2. d4 Nc8 *
",illegal
33,"1. b4 Ne6 2. Ng3 Nb6 *
",illegal
34,"1. e4 d5 2. Ng3 c6 *
",illegal
35,"1. e4 e6 2. Ne2 g5 *
",illegal
