,input,output
0,"1. g3 Ng6 2. b3 Kf8 *
",legal
1,"1. h4 b6 2. Nh2 Ne6 *
",legal
2,"1. d4 h5 2. f4 Nh7 *
",legal
3,"1. d4 Nd6 2. b3 Qc8 *
",legal
4,"1. d4 Ne6 2. b3 Nxd4 *
",legal
5,"1. Nb3 c5 2. c3 Be5 *
",legal
6,"1. Nb3 Nb6 2. Nd4 Na4 *
",legal
7,"1. e4 e6 2. d4 Nd6 *
",legal
8,"1. g4 Ng6 2. Nb3 f6 *
",legal
9,"1. e4 Nd6 2. Qf3 Nc8 *
",legal
10,"1. Ne3 Nd6 2. c4 a5 *
",legal
11,"1. h3 d5 2. Ng3 Kd7 *
",legal
12,"1. h3 d6 2. Nd3 Kd7 *
",legal
13,"1. e4 Ng6 2. Ng3 a5 *
",legal
14,"1. e4 d6 2. Ne2 e6 *
",legal
15,"1. e4 c5 2. f3 Bxh2 *
",legal
16,"1. e4 Nb6 2. Qe2 Nc4 *
",legal
17,"1. a3 c5 2. Nd3 Bc7 *
",legal
18,"1. h3 e6 2. Nh2 Nd6 *
",legal
19,"1. g4 Nd6 2. Ng3 Nc8 *
",legal
20,"1. c4 Ne6 2. b4 Nf8 *
",legal
21,"1. Nb3 Ne6 2. a4 Nb6 *
",legal
22,"1. c4 b6 2. e4 Ne6 *
",legal
23,"1. e4 Nd6 2. b3 Nc8 *
",legal
24,"1. e4 a5 2. Ng3 d6 *
",legal
25,"1. f3 Ng6 2. a4 Nf4 *
",legal
26,"1. d4 a5 2. h4 Ba7 *
",legal
27,"1. Ng3 Nd6 2. Ne4 Nc4 *
",legal
28,"1. d3 e5 2. Nb3 a6 *
",legal
29,"1. e4 Nb6 2. Ke2 Na4 *
",legal
30,"1. e4 Nb6 2. d4 d5 *
",legal
31,"1. e4 Ng6 2. Ne3 Nd6 *
",legal
32,"1. g3 Nd6 2. d4 Nc8 *
",legal
33,"1. b4 Ne6 2. Ng3 Nb6 *
",legal
34,"1. e4 d5 2. Ng3 c6 *
",legal
35,"1. e4 e6 2. Ne2 g5 *
",legal
36,"1. e4 b5 2. a4 Nb6 *
",legal
37,"1. c3 h6 2. Bg6 b6 *
",legal
38,"1. d4 c5 2. dxc5 Bd6 *
",legal
39,"1. d4 Ne6 2. Nd3 Nf8 *
",legal
40,"1. d3 Ne6 2. c3 Nf8 *
",legal
41,"1. Nd3 Nd6 2. Nf4 f5 *
",legal
42,"1. d4 c5 2. Ne3 e5 *
",legal
43,"1. Ng3 Ng6 2. Kf1 Nf4 *
",legal
44,"1. f4 c5 2. c4 Bd6 *
",legal
45,"1. d4 h6 2. Kd2 Ng6 *
",legal
46,"1. e4 d6 2. h3 Ng6 *
",legal
47,"1. e4 Nd6 2. Ne2 f6 *
",legal
48,"1. e4 Nb6 2. Qf3 Nd5 *
",legal
49,"1. Nd3 e5 2. Nf4 Qg5 *
",legal
50,"1. h3 Nd6 2. Nh2 a5 *
",legal
51,"1. d4 e5 2. Nb3 Ng6 *
",legal
52,"1. h3 Nd6 2. Nd3 Ne4 *
",legal
53,"1. Nd3 c5 2. Nxc5 Bxh2 *
",legal
54,"1. a4 e5 2. Na2 Ne6 *
",legal
55,"1. Ne3 Ng6 2. f4 Kf8 *
",legal
56,"1. e4 Ng6 2. a3 b5 *
",legal
57,"1. d4 Ne6 2. Ne3 g6 *
",legal
58,"1. e4 f6 2. Qe2 Bf7 *
",legal
59,"1. e4 Nd6 2. Nb3 e6 *
",legal
60,"1. d4 d6 2. Nd3 Ng6 *
",legal
61,"1. a3 c6 2. Ba2 Bd6 *
",legal
62,"1. Ng3 a6 2. a3 Ba7 *
",legal
63,"1. h3 Ne6 2. Ne3 Nf8 *
",legal
64,"1. d4 Nb6 2. Ne3 Ng6 *
",legal
65,"1. e4 d5 2. Ne2 Qd6 *
",legal
66,"1. d4 Ne6 2. h4 f6 *
",legal
67,"1. d4 Nb6 2. Ng3 Ng6 *
",legal
68,"1. Ng3 d6 2. Nd3 Kd7 *
",legal
69,"1. Ng3 d6 2. Nf1 Ne6 *
",legal
70,"1. a3 e6 2. Ne3 Qg5 *
",legal
71,"1. e4 e5 2. Ne3 Qe7 *
",legal
72,"1. a4 Nd6 2. Ne3 Ne4 *
",legal
73,"1. Nd3 Ne6 2. Qc1 Nd4 *
",legal
74,"1. d3 Ng6 2. Ng3 Ne5 *
",legal
75,"1. e4 Nb6 2. Qf3 Nc4 *
",legal
76,"1. d4 Ng6 2. Ng3 Nf8 *
",legal
77,"1. c4 e5 2. f3 Ne6 *
",legal
78,"1. e4 Ne6 2. Qh5 d6 *
",legal
79,"1. e4 Ne6 2. c4 c5 *
",legal
80,"1. Nd3 h5 2. Nc5 Nh7 *
",legal
81,"1. f4 Ng6 2. Bd4 e5 *
",legal
82,"1. e4 Nb6 2. Nd3 c5 *
",legal
83,"1. c3 h6 2. Bg6 Nxg6 *
",legal
84,"1. a4 e6 2. Na2 Ng6 *
",legal
85,"1. Nd3 Nd6 2. f4 Ne4 *
",legal
86,"1. f3 Ne6 2. Bxa7 Nd6 *
",legal
87,"1. d4 d5 2. Nd3 Ng6 *
",legal
88,"1. h3 Nd6 2. Ne3 Ne4 *
",legal
89,"1. Ne3 c5 2. Nb3 f5 *
",legal
90,"1. f4 Ng6 2. Ng3 Nh4 *
",legal
91,"1. e4 h6 2. Nb3 d6 *
",legal
92,"1. g4 e5 2. Nb3 d6 *
",legal
93,"1. f3 d5 2. Bf2 Nd7 *
",legal
94,"1. e4 d5 2. Ne3 dxe4 *
",legal
95,"1. f4 Nb6 2. e4 Ne6 *
",legal
96,"1. Nd3 e5 2. Nb4 d6 *
",legal
97,"1. d4 e5 2. Ne3 f5 *
",legal
98,"1. Ne3 Ne6 2. Nd3 Ng5 *
",legal
99,"1. f3 Ng6 2. Ng3 e6 *
",legal
100,"1. d4 Nb6 2. Nd2 f5 *
",legal
101,"1. f3 g6 2. Bxa7 Nb6 *
",legal
102,"1. e4 d5 2. c4 Nd6 *
",legal
103,"1. d4 Ng6 2. b3 Ne5 *
",legal
104,"1. b3 d5 2. Ng3 Nb6 *
",legal
105,"1. e4 Ne6 2. Ne3 Nf8 *
",legal
106,"1. e4 Ne6 2. Qf3 g6 *
",legal
107,"1. d3 Ne6 2. f3 c6 *
",legal
108,"1. d4 Nb6 2. f3 h6 *
",legal
109,"1. e4 Ne6 2. Qe2 Nb6 *
",legal
110,"1. d4 d6 2. Nd2 f5 *
",legal
111,"1. d3 Ng6 2. Qd2 Nb6 *
",legal
112,"1. d4 a5 2. Kd2 Ng6 *
",legal
113,"1. Nb3 Ne6 2. f3 f6 *
",legal
114,"1. c4 a6 2. Bc2 g6 *
",legal
115,"1. e4 a6 2. h4 Ng6 *
",legal
116,"1. a3 c5 2. Ba2 Ng6 *
",legal
117,"1. g4 e6 2. Nb3 e5 *
",legal
118,"1. a4 Nb6 2. c3 Nc8 *
",legal
119,"1. a4 c5 2. b3 Bd6 *
",legal
120,"1. e4 Ng6 2. g4 f6 *
",legal
121,"1. e4 Ne6 2. Ne2 Nf4 *
",legal
122,"1. d4 Nd6 2. e4 Nc8 *
",legal
123,"1. e4 Nb6 2. Nb3 Ng6 *
",legal
124,"1. d4 f5 2. Qd2 Bb3 *
",legal
125,"1. h3 d6 2. Ne3 b5 *
",legal
126,"1. e4 e6 2. Ne3 c6 *
",legal
127,"1. b4 Ng6 2. Ng3 Nh4 *
",legal
128,"1. d4 Nd6 2. Nd2 e6 *
",legal
129,"1. a4 d6 2. Ba2 c6 *
",legal
130,"1. e4 a5 2. Ng3 Nd6 *
",legal
131,"1. Ne3 b6 2. g4 c5 *
",legal
132,"1. e4 Nb6 2. Qg4 c6 *
",legal
133,"1. d4 d6 2. a3 Nb6 *
",legal
134,"1. d4 Nb6 2. Ng3 Ne6 *
",legal
