,input,output
27,"dataproducts is fighting a hostile tender offer by dpc acquisition partners , a group led by new york-based crescott investments associates .",dataproducts fighting
324,"at giant bicycle inc. , rancho dominguez , calif. , sales have tripled since the company entered the u.s. mountain-bike business in 1987 .",sales tripled
192,"chemical said steven edelson resigned recently , but one individual close to the situation said the resignation was forced .",chemical said
331,"dealers said the market was supported to some extent by a firmer pound , gains on wall street and shopping by market-makers to cover internal requirements for selected stocks in the 100-share index .",dealers said
172,scientists also are exploring memory and perception with the new machines .,scientists exploring
91,"it is the largest private-sector landowner of the minato-mirai 21 project , a multibillion-yen development in the port city of yokohama , about an hour outside tokyo .",it is
85,enfield is a holding company with interests in manufacturing concerns .,enfield is
466,he should consider his victory a mandate to continue his growth-oriented economic reforms and not a demand that he move further left .,he consider
441,critics also say american companies charge too much .,critics say
494,"quebecor also publishes a second tabloid in montreal , the struggling 18-month-old montreal daily news ; dailies in quebec city and winnipeg , manitoba ; and dozens of weeklies covering most of quebec .",quebecor publishes
481,"to date , scientists have fingered two of these cancer-suppressors .",scientists fingered
464,they chance alienating the customers they hope to woo by looking like opportunistic sharks .,they chance
19,"alltel holds 45 % of the franchise , which has operations in aiken , s.c. , and augusta , ga .",alltel holds
145,sales rose 6.2 % to $ 1.45 billion from $ 1.37 billion .,sales rose
457,ford said the new offer will begin saturday and run indefinitely .,ford said
396,it would allow all defendants to introduce statistical evidence showing racially disproportionate application of the death penalty in the past .,it allow
436,she adds that some technological advances trail those in the u.s. because the japanese still import basic operating systems from american companies .,she adds
54,"yesterday , armstrong announced an agreement to sell its small applied color systems unit to a subsidiary of the swiss company , brauerei eichof ltd .",armstrong announced
137,"warner is part of warner communications inc. , which is in the process of being acquired by time warner inc .",warner is
437,it has won about 15 % of the retail pc market .,it won
264,"and while customers such as steel service centers are continuing to reduce inventories through the fourth quarter , they eventually will begin stocking up again , he notes .",he notes
321,"with 65 % of its sales coming from mountain bikes , specialized is widely considered to be a market leader .",specialized considered
255,but it appears to be the sort of hold one makes while heading for the door .,it appears
387,nrm said it expects unitholders to vote on the restructuring at a meeting dec. 15 .,nrm said
392,letting officials express their own nuances can be educational .,officials express
428,but interest waned as the day wore on and investors looked ahead to the release later this week of two important economic reports .,interest waned
5,but we can think of many reasons to stay out for the foreseeable future and well beyond .,we think
271,it said financing would consist of $ 250 million from a private placement obtained through shearson lehman hutton inc. and a $ 150 million revolving credit line underwritten by chase manhattan bank .,it said
58,"he is 37 , an astronomer with impressive credentials , and something of a genius at making computers do his bidding .",he is
284,ogden gained 1 1/4 to 32 7/8 .,ogden gained
66,sales rose to $ 52.4 million from $ 50.1 million .,sales rose
376,officials also say a national electricity shortage might not be far off .,officials say
298,"after fees and repayment of debt , avery is left with about $ 24 million in cash and securities from the uniroyal sale .",avery left
156,"in a statement to employees , eastern said the company was disappointed by the ruling .",eastern said
63,he became angry in return .,he became
377,"the 67-year-old mr. brizola has been vague about his intentions and often inflammatory in his rhetoric , but analysts say he probably would be pragmatic .",analysts say
240,revenue rose 21 % to 22.61 billion francs from 18.69 billion francs .,revenue rose
60,some nights he slept under his desk .,he slept
293,the contraction was twice as large as economists projected and was the sharpest decline since a 19 % drop in january 1982 .,economists projected
386,nrm said its $ 2.60 senior cumulative convertible preferred units will be converted into an equal number of shares of $ 2.60 senior cumulative convertible preferred stock of edisto .,nrm said
372,but violation could bring substantial tax penalties to both employer and employees .,violation bring
44,"ifi also has nonvoting preferred shares , which are quoted on the milan stock exchange .",ifi has
37,"feeling the naggings of a culture imperative , i promptly signed up .",i signed
470,reserves traded among commercial banks for overnight use in amounts of $ 1 million or more .,reserves traded
127,"nissan hopes that that will start to change this fall , with its new version of the stanza compact sedan .",nissan hopes
375,"despite valiant efforts by finance minister mailson ferreira da nobrega , inflation came to 36 % in september alone and is expected to top 1,000 % for the year .",inflation came
16,"stuffing a wad of red man into his cheek , he admits the fastball he brought into the majors in 1955 has become a slowball .",he admits
430,"japan may be a tough market for outsiders to penetrate , and the u.s. is hopelessly behind japan in certain technologies .",outsiders penetrate
237,analysts said the offer for great northern nekoosa broke the pall that settled over the takeover business for the past three weeks in the wake of the collapsed ual corp . buy-out .,analysts said
425,"this past summer , quotron sold its customer-service unit , employing 600 , to phoenix technologies inc. , a closely held computer-service firm in valley forge , pa .",quotron sold
413,japan normally depends heavily on the highland valley and cananea mines as well as the bougainville mine in papua new guinea .,japan depends
39,i looked at my watch .,i looked
177,"japan ranks as only the fourth largest foreign investor in mexico , with 5 % of the total investments .",japan ranks
151,states are following suit .,states following
332,"prices were up across the board , with most blue-chip stocks registering solid gains .",prices were
408,"acadia would sell up to 10 % of the equity in the reorganized company to creditors and bondholders in exchange for the cash distribution , but creditors and bondholders would receive no discount for their shares .",acadia sell
370,but survivors earn more .,survivors earn
22,"seats currently are quoted at $ 400,000 bid , $ 425,000 asked .",seats quoted
341,"in addition , courtaulds said the moves are logical because they will allow both the chemicals and textile businesses to focus more closely on core activities .",courtaulds said
378,but humana says its own facilities could serve its insured for less if they were properly equipped .,humana says
113,"in 1988 , a year and a half after mrs. marcos and her late husband , ferdinand marcos , the ousted president of the philippines , fled the philippines for hawaii , they were charged with racketeering , conspiracy , obstruction of justice and mail fraud in a scheme in which they allegedly embezzled more than $ 100 million from their homeland .",they charged
231,"despite the big increases in health-care costs , wages still account for a far greater share of overall labor costs .",wages account
320,"founded by bike enthusiasts rather than businessmen , specialized spotted the appeal of fat-tired bikes that go almost anywhere and began mass-producing them in 1981 .",specialized spotted
399,he could rule as early as today on the motion seeking a temporary injunction against the dow jones offer .,he rule
480,"scientists call the new class of genes tumor-suppressors , or simply anti-cancer genes .",scientists call
10,"he said the company is experimenting with the technique on alfalfa , and plans to include cotton and corn , among other crops .",he said
438,"but it could also help american companies , which also are starting to try to open the market .",it help
478,daimler said it has had talks with jaguar about possible joint ventures .,daimler said
195,"hogs rose $ 3.40 to $ 46.80 a hundredweight in october , while beef cattle slipped 80 cents to $ 67.40 for each hundred pounds and calves dropped 90 cents to $ 90.20 .",hogs rose
499,but she said the state currently has 35 appointed judges who are over 70 .,she said
218,it has about 12.3 million shares outstanding .,it has
40,a whole morning of ballooning and i had been off the ground barely 30 minutes .,i been
161,"he will concentrate on , among others , j.p. morgan and hyundai .",he concentrate
439,"though no formal trade barriers exist , the japanese computer industry is difficult for outsiders to enter .",outsiders enter
13,these days he hustles to house-painting jobs in his chevy pickup before and after training with the tropics .,he hustles
33,he said summer drought problems that had hit several southern agricultural regions had stopped being a major source of price pressure in september .,he said
357,it was supposed to be a routine courtesy call .,it supposed
118,"in recent years , nissan has instituted flex-time work schedules and allowed employees to dress casually , even in blue jeans .",nissan instituted
385,"under the plan , nrm said holders of its common units will receive one share of new common stock in edisto resources corp. for every 14.97 common units owned .",nrm said
79,japan has found another safe outlet for its money : u.s. home mortgages .,japan found
12,"midmorning , he dons an orange-and-blue uniform and , for fun , may field a bunt from dave kingman .",he dons
94,warner has a five-year exclusive contract with mr. guber and mr. peters that requires them to make movies exclusively at the warner bros. studio .,warner has
455,ford said owners should return the cars to dealers so the windshields can be removed and securely reinstalled .,ford said
379,"humana contends that $ 8,000 represents an extreme case and that its regular charge for lithotripsy is $ 4,900 .",humana contends
188,he predicted the u.s. unit will skid below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year .,he predicted
154,"that may leave a lot of leeway for u.s. bankruptcy judge burton r. lifland to decide what , if anything , the pilots actually collect .",that leave
219,"georgia-pacific closed down $ 2.50 , at $ 50.875 in big board trading .",georgia-pacific closed
452,"valued at $ 1.3 million , it was part of a four-crate shipment .",it was
193,"with such a lopsided book of options , traders say , chemical was more vulnerable to erroneous valuation assumptions .",traders say
96,seagram says the promotion is designed to build brand loyalty rather than promote heavy drinking .,seagram says
225,"georgia-pacific owns 349,900 nekoosa shares and would need federal antitrust clearance to buy more than $ 15 million worth .",georgia-pacific owns
268,"with $ 500 apiece and an injection of outside capital , they formed genentech inc .",they formed
275,democrats want to avoid having to make that choice by making the capital-gains tax cut an individual bill .,democrats want
473,"but banks may prefer using a profile that targets selected transactions , rather than a blanket reporting requirement .",banks prefer
174,"hewlett-packard is a palo alto , calif. , computer maker .",hewlett-packard is
70,"to many , it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern allegheny mountains .",it was
472,cetus is currently trying to obtain federal regulatory clearance for u.s. distribution .,cetus trying
362,it took effect after seven years of bitter debate between the securities and exchange commission and traders and exchanges .,it took
170,"using small electrical shocks applied to her feet , they were able to monitor sensory nerves .",they were
182,"mexico is sending a number of missions to japan looking for a major breakthrough investment in telecommunications , petrochemicals or tourism .",mexico sending
