,input,output
90,"is also pushing ahead mitsubishi with a controversial plan marunouchi to redevelop into a business center of high-tech buildings , a project budgeted for 30 years and six trillion yen .",mitsubishi pushing
254,"an interim per-share dividend of 1.85 pence declared marks , compared with 1.7 pence a year earlier .",marks declared
283,revenue of $ 76 million for the year ended march 31 had the businesses to be acquired said cilcorp .,cilcorp said
445,"was sentenced he to 500 hours of community service and restitution to the museum of $ 45,000 .",he sentenced
461,his victory a mandate his growth-oriented economic reforms to continue and not a demand that move further left he should consider he .,he consider
15,the plate no longer crowds he .,he crowds
316,"at the same time , , more structured its growth to better manage though must become it .",it become
489,late yesterday a $ 3.8 million stock buy-back program announced michael .,michael announced
159,miller brewing co. and general motors include clients .,clients include
153,"in a statement to employees , was the company disappointed by the ruling said eastern .",eastern said
241,2 1/8 added microsoft to 81 3/4 and 1 1/2 rose oracle systems to 23 1/4 .,microsoft added
250,"but , turns out it , what will pay a buyer is only value .",value is
390,all defendants statistical evidence racially disproportionate application of the death penalty in the past showing to introduce would allow it .,it allow
289,"trading more rapid have made computers , but can be fixed that with some fine-tuning .",computers made
171,"interest pay they only for 115 months , with principal payments beginning thereafter .",they pay
329,"was drawn fresh buying into jaguar after a british television interviewer that talks with the luxury auto maker over possible joint ventures held the west german company told a senior executive of daimler-benz , the auto maker , during the weekend said dealers .",dealers said
468,federal regulatory clearance for u.s. distribution to obtain is currently trying cetus .,cetus trying
355,"brokers scared it , but survived most .",it scared
154,"the claim has disputed eastern , but all have sided a federal district court , an appeals court and now the arbitrator with the pilots .",eastern disputed
37,"the naggings of a culture imperative feeling , promptly signed up i .",i signed
205,that the unit would sell ocean drilling to concentrate on its core oil and gas business has long been rumored it .,it rumored
366,but more earn survivors .,survivors earn
240,"its print advertising to protect by the first amendment invoking trying , and blacks wooing by itself portraying as a protector of civil rights include these .",these include
108,"a debt-equity auction will hold venezuela friday , with participating 32 potential bidders .",venezuela hold
45,"financing of 300 billion lire raised it for the purchase this summer by another agnelli-related group of the food concern galbani s.p . a. , by a chunk of its ifi shares selling to mediobanca s.p . a.",it raised
438,is timing of the essence with ru-486 .,timing is
21,a 2.6 % decline in its raw-materials price index for september also reported it .,it reported
367,richer commissions now offers it a broker a week to lure .,it offers
96,"a milk with 4 % butterfat even tested borden in the south , but was the market too small decided .",borden tested
