,input,output
209,"1. e4 Bc6 2. Na6 b6 *
",legal
280,"1. a3 Bf6 2. Bf3 Bg8 *
",legal
33,"1. b4 Ne6 2. Ng3 Nb6 *
",illegal
210,"1. d4 Bc6 2. g3 Bxd4 *
",legal
93,"1. f3 d5 2. Bf2 Nd7 *
",illegal
84,"1. a4 e6 2. Na2 Ng6 *
",illegal
329,"1. b4 d5 2. c4 Ncd7 *
",legal
94,"1. e4 d5 2. Ne3 dxe4 *
",illegal
266,"1. e4 Bc6 2. Be2 Bd4 *
",legal
126,"1. e4 e6 2. Ne3 c6 *
",illegal
9,"1. e4 Nd6 2. Qf3 Nc8 *
",illegal
361,"1. e4 a6 2. Nfd3 Bc6 *
",legal
56,"1. e4 Ng6 2. a3 b5 *
",illegal
72,"1. a4 Nd6 2. Ne3 Ne4 *
",illegal
132,"1. e4 Nb6 2. Qg4 c6 *
",illegal
42,"1. d4 c5 2. Ne3 e5 *
",illegal
278,"1. e4 Bf6 2. Ke2 Bd5 *
",legal
376,"1. f4 Bc6 2. Bf3 Be5 *
",legal
231,"1. e4 d5 2. Be2 Qd6 *
",legal
385,"1. d4 Bc6 2. h4 Be5 *
",legal
77,"1. c4 e5 2. f3 Ne6 *
",illegal
15,"1. e4 c5 2. f3 Bxh2 *
",illegal
391,"1. d4 e5 2. Nh6 g5 *
",legal
271,"1. e4 d6 2. Ba3 Ba6 *
",legal
0,"1. g3 Ng6 2. b3 Kf8 *
",illegal
396,"1. e4 d6 2. Ba3 Nce6 *
",legal
114,"1. c4 a6 2. Bc2 g6 *
",illegal
225,"1. e3 b6 2. Nfe2 a6 *
",legal
262,"1. a3 Bc6 2. e3 Bb8 *
",legal
104,"1. b3 d5 2. Ng3 Nb6 *
",illegal
395,"1. e3 d6 2. b4 Nh3 *
",legal
193,"1. h4 c6 2. Ng3 Qc7 *
",illegal
261,"1. h4 Bf6 2. Bc3 Bd5 *
",legal
57,"1. d4 Ne6 2. Ne3 g6 *
",illegal
232,"1. Bc3 g6 2. h4 Bc6 *
",legal
116,"1. a3 c5 2. Ba2 Ng6 *
",illegal
113,"1. Nb3 Ne6 2. f3 f6 *
",illegal
342,"1. Ba3 Bh6 2. Bc4 Bf5 *
",legal
158,"1. Nb3 d5 2. e4 e5 *
",illegal
141,"1. e4 Ng6 2. Ke2 Nh4 *
",illegal
381,"1. Bc3 g6 2. e3 Nh6 *
",legal
55,"1. Ne3 Ng6 2. f4 Kf8 *
",illegal
76,"1. d4 Ng6 2. Ng3 Nf8 *
",illegal
25,"1. f3 Ng6 2. a4 Nf4 *
",illegal
82,"1. e4 Nb6 2. Nd3 c5 *
",illegal
382,"1. d4 Bf6 2. Bd2 c5 *
",legal
148,"1. e4 Ng6 2. Qf3 Nb6 *
",illegal
181,"1. e4 Nb6 2. a4 a6 *
",illegal
22,"1. c4 b6 2. e4 Ne6 *
",illegal
173,"1. Ng3 Nb6 2. c4 Nd5 *
",illegal
46,"1. e4 d6 2. h3 Ng6 *
",illegal
321,"1. e4 e6 2. c3 Nb4 *
",legal
338,"1. d4 d6 2. Bd2 Ncd7 *
",legal
70,"1. a3 e6 2. Ne3 Qg5 *
",illegal
374,"1. d4 e6 2. a3 Bc6 *
",legal
39,"1. d4 Ne6 2. Nd3 Nf8 *
",illegal
223,"1. d4 e5 2. Qd2 Bc6 *
",legal
