,input,output,possible_translations
1121,conservation,Schutz,"['Erhaltung', 'Bewahrung', 'Konservierung', 'Schutz']"
660,regiment,Regiment,['Regiment']
677,cruiser,Kreuzer,['Kreuzer']
739,rescue,Rettung,"['retten', 'Rettung']"
900,orbit,Umlaufbahn,"['Orbit', 'Umlaufbahn', 'in Umlaufbahn bringen', 'umkreisen']"
215,feature,Besonderheit,"['in der Hauptrolle mitspielen', 'besonders herausstellen', 'Funktion', 'Eigenschaft', 'Eigentümlichkeit', 'aufweisen', 'darbieten', 'bieten', 'Feature', 'Charakteristikum', 'Besonderheit', 'Merkmal', 'Feuilleton', 'Sonderbeitrag']"
1057,swimming,Schwimmen,['Schwimmen']
851,survey,Untersuchung,['Untersuchung']
1216,gate,Tor,"['Flugsteig', 'Schlagbaum', 'Gate', 'Tor']"
168,magazine,Magazin,"['Magazin', 'Munitionslager', 'Journal', 'Zeitschrift']"
2749,topography,Topografie,['Topografie']
1950,carriage,Wagen,"['Haltung', 'Kutsche', 'Wagon', 'Wagen', 'Gang']"
2686,camping,Camping,['Camping']
2272,cycling,radfahren,['radfahren']
1569,arcade,Spielhalle,"['Spielhalle', 'Arkade']"
2432,advocacy,Fürsprache,"['Befürwortung', 'Fürsprache']"
575,independence,Unabhängigkeit,"['Selbständigkeit', 'Unabhängigkeit']"
2301,portal,Portal,['Portal']
1233,uniform,Uniform,"['gleichförmig', 'einheitlich', 'Uniform']"
424,draft,Musterung,"['abkommandieren', 'auswählen', 'einberufen', 'zeichnen', 'entwerfen', 'vom Fass', 'Musterung', 'Zugluft', 'Entwurf', 'Tiefgang']"
1814,kilometre,Kilometer,['Kilometer']
1578,liver,Leber,['Leber']
445,committee,Komitee,"['Ausschuß', 'Komitee']"
2203,thunderstorm,Gewitter,['Gewitter']
287,cyclone,Zyklon,"['Zyklone', 'Zyklon']"
302,yard,Hof,['Hof']
221,face,Gesicht,"['etwas anlehnen', 'Gesicht', 'Fläche', 'Facette', 'sich ausrichten', 'stellen', 'Visage', 'Antlitz', 'Angesicht', 'Gesichtsausdruck']"
562,knowledge,Wissen,"['Kenntnis', 'Wissen']"
1673,trilogy,Trilogie,['Trilogie']
1801,clause,Nebensatz,"['Teilsatz', 'Klausel', 'Nebensatz']"
1645,countryside,Land,['Land']
848,occupation,Beschäftigung,"['Okkupation', 'Beschäftigung', 'Besetzung', 'Beruf']"
1576,colonel,Oberst,['Oberst']
428,personnel,Personal,['Personal']
1028,constitution,Verfassung,"['Konstitution', 'Verfassung', 'Verfassen', 'Grundgesetz']"
707,contest,Wettkampf,"['Wettstreit', 'Wettkampf', 'Wettbewerb']"
1231,net,Netz,"['mit einem Netz fangen', 'Netz', 'netto verdienen', 'Netto', 'Netto-']"
2753,toe,Zeh,"['Zeh', 'Zehe', 'Vorspur']"
831,drawing,Auslosung,"['Auslosung', 'Zeichnung', 'Bild', 'Ziehung']"
777,arm,Arm,"['Bewaffnung', 'Oberarm', 'rüsten', 'bewaffnen', 'Waffe', 'Unterarm', 'Arm', 'Rüstung']"
1404,cat,Säbelzahnkatze,"['Feliden', 'Pantherinae', 'Katzenartige', 'Felidae', 'Kleinkatze', 'Katze', 'Machairodontine', 'Feliformia', 'Pantherinen', 'Großkatze', 'Machairodontinae', 'Machairodontinen', 'Felinen', 'Säbelzahnkatze', 'Grosskatze', 'Felide', 'Pantherine', 'Felinae', 'Katzenartigen', 'Feloidea', 'Feline']"
